rank,candidate_id,name,strategy_class,family,strategy_timeframe,symbols,selected_fold_count,selected_folds,mean_validation_return,mean_validation_sharpe,mean_oos_report_only_return,mean_oos_report_only_sharpe,mean_oos_report_only_max_drawdown,oos_report_only_positive_return_and_sharpe_count,selection_status
1,19d07d85cab54789,alpha101_formula_4h_a011_a011_flow_swing_dir,Alpha101FormulaStrategy,formulaic_alpha,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",3,"WF202605,WF202606,WF202607_PARTIAL",0.10677478785193932,2.944023573612206,0.030665628650891952,-2.5762701496925193,0.04858216865927208,2,research_selected_train_validation
2,632d6e864ee01bd8,pair_spread_4h_fast_cycle_btcusdt_bnbusdt_1.6_0.35,PairSpreadZScoreStrategy,market_neutral,4h,"BTC/USDT,BNB/USDT",2,"WF202606,WF202607_PARTIAL",0.10055884259620806,6.15753394119503,-0.0023786235072476014,-20.896014228660263,0.007715937452756949,1,research_selected_train_validation
3,a27ef46e91376b7c,pair_spread_4h_fast_cycle_btcusdt_bnbusdt_1.8_0.45,PairSpreadZScoreStrategy,market_neutral,4h,"BTC/USDT,BNB/USDT",2,"WF202606,WF202607_PARTIAL",0.09608268815773502,5.321882752905721,-0.001366749424949687,-22.303033638567133,0.00851942646898185,1,research_selected_train_validation
4,1f1fd241c12f0bc2,pair_spread_4h_balanced_btcusdt_bnbusdt_1.6_0.35,PairSpreadZScoreStrategy,market_neutral,4h,"BTC/USDT,BNB/USDT",2,"WF202606,WF202607_PARTIAL",0.09722599234131013,5.408599098485896,0.0027579655622461674,0.7197541263935027,0.0014039794110866088,1,research_selected_train_validation
5,914ff36cba1555ea,pair_spread_4h_balanced_btcusdt_bnbusdt_2.0_0.50,PairSpreadZScoreStrategy,market_neutral,4h,"BTC/USDT,BNB/USDT",2,"WF202606,WF202607_PARTIAL",0.0902124919672006,5.0394120415197445,-0.005419853274218234,-23.974229452563513,0.007426863996133848,0,research_selected_train_validation
6,01b6c17e2d0faf32,adaptive_regime_momentum_4h_profit_reboot_slow_defensive_60_6_0.020,AdaptiveRegimeMomentumStrategy,profit_reboot_cross_sectional,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
7,c9c210b24af36839,profit_moonshot_trend_4h_slow_36_0.014,ProfitMoonshotTrendStrategy,profit_moonshot_cross_sectional,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
8,81a321b38312a128,profit_moonshot_breakout_4h_slow_expansion_30_0.008,ProfitMoonshotBreakoutStrategy,profit_moonshot_breakout,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
9,64ae2306e46aa279,profit_moonshot_reversion_4h_slow_shock_fade_24_0.850,ProfitMoonshotReversionStrategy,profit_moonshot_reversion,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
10,78f5a77c2badecfe,hurst_regime_gated_4h_balanced_lo_48_0.55,HurstRegimeGatedStrategy,cross_sectional,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
11,7e64a5c8f39ca7e8,flow_share_rotation_4h_balanced_lo,CrossSectionalFlowShareRotationStrategy,cross_sectional,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
12,6bb1fdf57477d280,flow_share_rotation_4h_guarded_ls,CrossSectionalFlowShareRotationStrategy,cross_sectional,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
13,b9fefc414f9b57df,regime_router_confirmed_4h_core_42_56,RegimeRouterConfirmedRotationStrategy,cross_sectional,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
14,942a3646d139b779,liquidation_cascade_reversion_4h_cascade_swing_0.04_6,LiquidationCascadeReversionStrategy,cross_sectional,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
15,4cf80de7bc75ba7f,selection_gated_momentum_4h_screened_swing_30_10,SelectionGatedMomentumStrategy,cross_sectional,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
16,a41d21c3ceef9859,selection_gated_reversion_4h_screened_fade_swing_4_10,SelectionGatedReversionStrategy,cross_sectional,4h,"BTC/USDT,ETH/USDT,SOL/USDT,BNB/USDT,TRX/USDT,XRP/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT",2,"WF202604,WF202605",0.1443908247455532,2.1414534288029294,-0.03680618865911911,-2.0135329208636565,0.0862018080861095,1,research_selected_train_validation
17,31c6486faa07ee45,pair_spread_4h_participation_btcusdt_bnbusdt_1.6_0.35,PairSpreadZScoreStrategy,market_neutral,4h,"BTC/USDT,BNB/USDT",2,"WF202606,WF202607_PARTIAL",0.042157732263635506,2.8642968610652635,-0.007320188042357012,-2.8740199880717205,0.00747815708945726,0,research_selected_train_validation
