model_id,model_kind,role,candidate_name,variant_name,leverage,allocation_fraction,round_trip_slippage_fee_bps,split,total_return,max_drawdown,sharpe,sortino,smart_sortino,calmar,return_mdd,trade_event_count,active_return_hours,liquidation_count,account_wipeout_count,minimum_margin_buffer,split_gate_pass,split_gate_reasons,locked_oos_deployable_gate_pass,locked_oos_deployable_gate_reasons,train_validation_score,filter_trade_count,trade_filter_params,candidate_universe_uses_locked_oos_bucket,regenerated_train_validation_only,promotability_scope,shadow_only,calendar_primary,primary_10bps_promotion_gate_pass,primary_10bps_promotion_gate_reasons,live_promotable_10bps
fresh_tv10_seed_alpha_zoo_conservative_exit_carry_forward_old_split_selected_9p0x_0p125alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit_carry_forward_old_split_selected,,9.0,0.125,10.0,train,-0.8530001154532644,0.897869949045879,-1.706241146319319,-0.8531121859295495,-0.44951035046339016,-0.9500263555537241,-0.9500263555537241,2143,1813,7,0,8217.111177884615,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive;strict_zero_liquidation_count_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.8494288248924,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
fresh_tv10_seed_alpha_zoo_conservative_exit_carry_forward_old_split_selected_9p0x_0p125alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit_carry_forward_old_split_selected,,9.0,0.125,10.0,validation,-0.008702228003635737,0.2790955508848282,0.31479242664492796,0.18600336651653956,0.14541788249350857,-0.12500886339611858,-0.03118010292907466,490,423,0,0,9198.342031342401,False,mdd_above_25pct;return_non_positive;calmar_non_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.8494288248924,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
fresh_tv10_seed_alpha_zoo_conservative_exit_carry_forward_old_split_selected_9p0x_0p125alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit_carry_forward_old_split_selected,,9.0,0.125,10.0,locked_oos,-0.26941299657047835,0.3571721475706246,-4.540281187569355,-2.910113859083511,-2.144248144417563,-2.5620531179194477,-0.7542945282910297,269,231,0,0,9339.422266960322,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.8494288248924,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
fresh_tv10_seed_alpha_zoo_conservative_exit_9p0x_0p125alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit,,9.0,0.125,10.0,train,-0.8530001154532644,0.897869949045879,-1.706241146319319,-0.8531121859295495,-0.44951035046339016,-0.9500263555537241,-0.9500263555537241,2143,1813,7,0,8217.111177884615,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive;strict_zero_liquidation_count_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.8494288248924,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
fresh_tv10_seed_alpha_zoo_conservative_exit_9p0x_0p125alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit,,9.0,0.125,10.0,validation,-0.008702228003635737,0.2790955508848282,0.31479242664492796,0.18600336651653956,0.14541788249350857,-0.12500886339611858,-0.03118010292907466,490,423,0,0,9198.342031342401,False,mdd_above_25pct;return_non_positive;calmar_non_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.8494288248924,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
fresh_tv10_seed_alpha_zoo_conservative_exit_9p0x_0p125alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit,,9.0,0.125,10.0,locked_oos,-0.26941299657047835,0.3571721475706246,-4.540281187569355,-2.910113859083511,-2.144248144417563,-2.5620531179194477,-0.7542945282910297,269,231,0,0,9339.422266960322,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.8494288248924,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
fresh_tv10_seed_alpha_zoo_conservative_exit_carry_forward_old_split_selected_11p0x_0p1alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit_carry_forward_old_split_selected,,11.0,0.1,10.0,train,-0.8528502670888869,0.8970103542955339,-1.758069674992223,-0.8765248271856741,-0.46205590032805954,-0.9507697018265435,-0.9507697018265435,2143,1813,11,0,8256.730929487177,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive;strict_zero_liquidation_count_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.80577942574126,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
fresh_tv10_seed_alpha_zoo_conservative_exit_carry_forward_old_split_selected_11p0x_0p1alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit_carry_forward_old_split_selected,,11.0,0.1,10.0,validation,-0.007440059335485083,0.2737042321024769,0.31285699864407784,0.18477638083855263,0.14507008470368832,-0.10919398352213701,-0.027182843605792217,490,423,0,0,9216.156652868125,False,mdd_above_25pct;return_non_positive;calmar_non_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.80577942574126,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
fresh_tv10_seed_alpha_zoo_conservative_exit_carry_forward_old_split_selected_11p0x_0p1alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit_carry_forward_old_split_selected,,11.0,0.1,10.0,locked_oos,-0.26407139207561325,0.3507579187683503,-4.541178866625173,-2.9104753834465638,-2.1546979980694076,-2.5946466039964724,-0.7528593880442452,269,231,0,0,9354.101772138982,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.80577942574126,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
fresh_tv10_seed_alpha_zoo_conservative_exit_11p0x_0p1alloc,individual_seed,fresh_train_validation_10bps_retune,alpha_zoo_conservative_exit,,11.0,0.1,10.0,train,-0.8528502670888869,0.8970103542955339,-1.758069674992223,-0.8765248271856741,-0.46205590032805954,-0.9507697018265435,-0.9507697018265435,2143,1813,11,0,8256.730929487177,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive;strict_zero_liquidation_count_positive,False,mdd_above_25pct;return_non_positive;sharpe_non_positive;sortino_non_positive;smart_sortino_non_positive;calmar_non_positive,-154.80577942574126,,,False,True,live_candidate,False,False,False,liquidation_count_positive;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive,False
