round_trip_slippage_fee_bps,model_id,candidate_label,weight
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_slow_residual_pair 7x/0.15,0.3875
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_slow_residual_pair 6x/0.175,0.08750000000000001
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_slow_residual_pair 5x/0.2,0.08750000000000001
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_slow_residual_pair 6x/0.15,0.08750000000000001
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_slow_residual_pair 7x/0.125,0.08750000000000001
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_slow_residual_pair 5x/0.175,0.08750000000000001
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_slow_residual_pair 4x/0.2,0.08750000000000001
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_slow_residual_pair 6x/0.125,0.08750000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_slow_residual_pair 7x/0.15,0.3875
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_slow_residual_pair 6x/0.175,0.08750000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_slow_residual_pair 5x/0.2,0.08750000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_slow_residual_pair 6x/0.15,0.08750000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_slow_residual_pair 7x/0.125,0.08750000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_slow_residual_pair 5x/0.175,0.08750000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_slow_residual_pair 4x/0.2,0.08750000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_slow_residual_pair 6x/0.125,0.08750000000000001
