model_id,model_kind,role,candidate_name,leverage,allocation_fraction,round_trip_slippage_fee_bps,train_validation_score,promotability_scope,shadow_only,primary_10bps_promotion_gate_pass,primary_10bps_promotion_gate_reasons,live_promotable_10bps
hybrid_v3_5_seed_union,hybrid,hybrid_seed_union,,,,10.0,4.147468098731187,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,False
seed_alpha_zoo_high_confidence_long_only_7x_0p2,individual_seed,seed_universe,alpha_zoo_high_confidence_long_only,7.0,0.2,10.0,-48.289183946526855,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation,False
hybrid_v3_6_seed_union,hybrid,hybrid_seed_union,,,,10.0,-152.34601187690782,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_high_confidence_single_pair_6x_0p2,individual_seed,seed_universe,alpha_zoo_high_confidence_single_pair,6.0,0.2,10.0,-154.03066914393276,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;shadow_only_historical_oos_bucket_lineage;train_calmar_not_above_locked_oos;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_high_confidence_single_pair_7x_0p175,individual_seed,seed_universe,alpha_zoo_high_confidence_single_pair,7.0,0.175,10.0,-154.10583731238466,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;shadow_only_historical_oos_bucket_lineage;train_calmar_not_above_locked_oos;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_high_confidence_single_pair_7x_0p2,individual_seed,seed_universe,alpha_zoo_high_confidence_single_pair,7.0,0.2,10.0,-154.62171285177808,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;shadow_only_historical_oos_bucket_lineage;train_calmar_not_above_locked_oos;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_quality_single_pair_6x_0p2,individual_seed,seed_universe,alpha_zoo_quality_single_pair,6.0,0.2,10.0,-154.62689954584786,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_quality_single_pair_7x_0p175,individual_seed,seed_universe,alpha_zoo_quality_single_pair,7.0,0.175,10.0,-154.75428946492772,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_mdd_above_25pct;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_2x_0p125,individual_seed,seed_universe,alpha_zoo_fast_residual,2.0,0.125,10.0,-155.58252086251625,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
seed_alpha_zoo_fast_residual_5x_0p05,individual_seed,seed_universe,alpha_zoo_fast_residual,5.0,0.05,10.0,-155.58252086251625,shadow_only,True,False,candidate_universe_uses_locked_oos_bucket;locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;shadow_only_historical_oos_bucket_lineage;train_return_non_positive;train_sharpe_not_above_locked_oos;train_sharpe_not_above_validation;train_smart_sortino_not_above_locked_oos;train_smart_sortino_not_above_validation;train_sortino_not_above_locked_oos;train_sortino_not_above_validation;train_total_return_not_above_locked_oos;train_total_return_not_above_validation;validation_calmar_non_positive;validation_return_non_positive;validation_sharpe_non_positive;validation_smart_sortino_non_positive;validation_sortino_non_positive,False
