decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons,booster_train_validation_score,validation_first_half_return,validation_second_half_return,validation_min_half_return,booster_target_gate_pass,booster_target_reasons
1,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p005_trail3p0_hold6_4p0x_0p15_866d30f9,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.2516812425646826,0.25550481775595557,-0.05829428527697689,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.9850_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-38.863_not_above_10.000,2.6835175389095838,0.09594223300525218,0.14559397379290173,0.09594223300525218,False,locked_oos_return_-0.0583_below_preferred_0.03;train_rpt_17.478_below_preferred_20bps;locked_oos_rpt_-38.863_below_preferred_20bps
2,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p005_trail2p0_hold6_4p0x_0p15_499b43f0,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.4487637085148397,0.22721730042003951,-0.07737128083289746,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-64.476_not_above_10.000,2.5458047086587654,0.16518333009991437,0.053239665139050985,0.053239665139050985,False,locked_oos_return_-0.0774_below_preferred_0.03;locked_oos_rpt_-64.476_below_preferred_20bps
3,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p005_trail3p0_hold6_4p0x_0p15_4f222cb4,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.3929115134865484,0.2182703474289791,-0.07827604448583014,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-65.230_not_above_10.000,2.435869651410229,0.15668863199159722,0.053239665139050985,0.053239665139050985,False,locked_oos_return_-0.0783_below_preferred_0.03;locked_oos_rpt_-65.230_below_preferred_20bps
4,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p005_trail2p0_hold12_4p0x_0p15_dbb8df09,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.36067442794185367,0.22233461887573425,-0.136144402413648,False,False,False,locked_oos_trade_event_count_18_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-126.060_not_above_10.000,2.427490679590395,0.15037764126452813,0.06255074423396234,0.06255074423396234,False,locked_oos_return_-0.1361_below_preferred_0.03;locked_oos_trade_event_count_18_below_20;locked_oos_rpt_-126.060_below_preferred_20bps
5,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p005_trail3p0_hold6_4p0x_0p125_ed09e150,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.21176029808727503,0.20994472520685048,-0.04869079960546563,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-38.953_not_above_10.000,2.307356469873998,0.07997727415814015,0.12034276475865857,0.07997727415814015,False,locked_oos_return_-0.0487_below_preferred_0.03;train_rpt_17.647_below_preferred_20bps;locked_oos_rpt_-38.953_below_preferred_20bps
6,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p005_trail3p0_hold6_5p0x_0p1_68624f57,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.21176029808727503,0.20994472520685048,-0.04869079960546563,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-38.953_not_above_10.000,2.307356469873998,0.07997727415814015,0.12034276475865857,0.07997727415814015,False,locked_oos_return_-0.0487_below_preferred_0.03;train_rpt_17.647_below_preferred_20bps;locked_oos_rpt_-38.953_below_preferred_20bps
7,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p0_trail3p0_hold6_4p0x_0p15_58aa5594,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.21127052260312262,0.24306208740262414,-0.08318847596300394,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.8692_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-44.725_not_above_10.000,2.2786964975536357,0.09594223300525218,0.1342405192233016,0.09594223300525218,False,locked_oos_return_-0.0832_below_preferred_0.03;train_rpt_14.314_below_preferred_20bps;locked_oos_rpt_-44.725_below_preferred_20bps
8,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p5_rel0p0_trail2p0_hold12_4p0x_0p15_8805e5b8,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,2h,0.2332462802806594,0.22836278176099656,-0.025992440487929924,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-12.741_not_above_10.000,2.1879975855832408,0.22080998751554093,0.006186707450539508,0.006186707450539508,False,locked_oos_return_-0.0260_below_preferred_0.03;validation_mdd_0.1056_above_preferred_0.10;train_rpt_16.613_below_preferred_20bps;locked_oos_rpt_-12.741_below_preferred_20bps
9,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p5_rel0p0_trail3p0_hold12_4p0x_0p15_f37ffd11,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,2h,0.23248201498020316,0.22836278176099656,-0.025992440487929924,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-12.741_not_above_10.000,2.1877798461814013,0.22080998751554093,0.006186707450539508,0.006186707450539508,False,locked_oos_return_-0.0260_below_preferred_0.03;validation_mdd_0.1056_above_preferred_0.10;train_rpt_16.559_below_preferred_20bps;locked_oos_rpt_-12.741_below_preferred_20bps
10,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p015_trail3p0_hold18_4p0x_0p15_1f67c762,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,2h,0.29591754818429306,0.20985339565201167,0.030255439257693473,False,False,False,locked_oos_trade_event_count_15_below_20,2.182812639611241,0.18198334707447583,0.023579053500641267,0.023579053500641267,False,locked_oos_trade_event_count_15_below_20
11,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p005_trail2p0_hold6_4p0x_0p125_05459e55,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.36652770118546507,0.18697875675715192,-0.06480725436871582,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-64.807_not_above_10.000,2.1812645922726537,0.1364918520254088,0.0444234638741734,0.0444234638741734,False,locked_oos_return_-0.0648_below_preferred_0.03;locked_oos_rpt_-64.807_below_preferred_20bps
12,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p005_trail2p0_hold6_5p0x_0p1_6d748517,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.36652770118546507,0.18697875675715192,-0.06480725436871582,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-64.807_not_above_10.000,2.1812645922726537,0.1364918520254088,0.0444234638741734,0.0444234638741734,False,locked_oos_return_-0.0648_below_preferred_0.03;locked_oos_rpt_-64.807_below_preferred_20bps
13,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p005_trail3p0_hold12_4p0x_0p15_8eb92429,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.202693782155823,0.3022481588524746,-0.08301894697887136,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.6706_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-60.159_not_above_10.000,2.174821826438819,0.12265927195846893,0.15996740184643454,0.12265927195846893,False,locked_oos_return_-0.0830_below_preferred_0.03;train_rpt_14.315_below_preferred_20bps;locked_oos_rpt_-60.159_below_preferred_20bps
14,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p015_trail2p0_hold18_4p0x_0p15_cc80b247,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,2h,0.2717732471869154,0.20985339565201167,0.030255439257693473,False,False,False,locked_oos_trade_event_count_15_below_20,2.1744213698354624,0.18198334707447583,0.023579053500641267,0.023579053500641267,False,locked_oos_trade_event_count_15_below_20
15,a30fb_booster_rs_chandelier_1h_solusdt_lb36_atr0p5_rel0p005_trail3p0_hold6_3p0x_0p15_38519586,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,SOLUSDT,1h,0.1913879684637989,0.18761773197364184,-0.04387190575965938,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-38.997_not_above_10.000,2.104182760688069,0.07198659495726689,0.10786621545485575,0.07198659495726689,False,locked_oos_return_-0.0439_below_preferred_0.03;train_rpt_17.721_below_preferred_20bps;locked_oos_rpt_-38.997_below_preferred_20bps
16,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p005_trail3p0_hold6_4p0x_0p125_9a5b2f3e,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.3226101111746751,0.17976742647463606,-0.06557137591503026,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-65.571_not_above_10.000,2.089364405907854,0.12958724816313416,0.0444234638741734,0.0444234638741734,False,locked_oos_return_-0.0656_below_preferred_0.03;locked_oos_rpt_-65.571_below_preferred_20bps
17,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p005_trail3p0_hold6_5p0x_0p1_7f9dfbe3,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.3226101111746751,0.17976742647463606,-0.06557137591503026,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-65.571_not_above_10.000,2.089364405907854,0.12958724816313416,0.0444234638741734,0.0444234638741734,False,locked_oos_return_-0.0656_below_preferred_0.03;locked_oos_rpt_-65.571_below_preferred_20bps
18,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p005_trail2p0_hold12_4p0x_0p125_f4b06ee9,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.29790473630552095,0.18324153067644167,-0.11468541240663677,False,False,False,locked_oos_trade_event_count_18_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-127.428_not_above_10.000,2.084031741892702,0.12453647197604067,0.052203783659630076,0.052203783659630076,False,locked_oos_return_-0.1147_below_preferred_0.03;locked_oos_trade_event_count_18_below_20;locked_oos_rpt_-127.428_below_preferred_20bps
19,a30fb_booster_rs_chandelier_2h_ethusdt_lb24_atr0p5_rel0p005_trail2p0_hold12_5p0x_0p1_fb40f0ff,no_promotion_shadow_or_reject,relative_strength_chandelier_breakout,ETHUSDT,2h,0.29790473630552095,0.18324153067644167,-0.11468541240663677,False,False,False,locked_oos_trade_event_count_18_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-127.428_not_above_10.000,2.084031741892702,0.12453647197604067,0.052203783659630076,0.052203783659630076,False,locked_oos_return_-0.1147_below_preferred_0.03;locked_oos_trade_event_count_18_below_20;locked_oos_rpt_-127.428_below_preferred_20bps
