rank,model_id,family,symbol,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,filter_label,feature_backed,feature_train_coverage,feature_validation_coverage,feature_locked_oos_coverage,max_asof_feature_age_hours,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,primary_10bps_promotion_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,replay_live_notional_parity,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons
1,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold4_3p0x_0p15_4ee824f8,donchian_atr_volatility_breakout,SOLUSDT,2h,long_short,12,0.5,0.0,4,2,btc_regime_mid_exit,False,,,,,3.0,0.15,0.44999999999999996,0.37159208103659314,0.3438555036641264,-0.05206271535044571,0.16333360484796022,0.0491420589522753,0.07400728790138722,1.407175582516888,5.544701884606965,-2.812442328582913,252,52,40,1654,408,210,1.080663467872131,0.02773657737246671,32.76826111433802,146.94679643766088,-28.923730750247614,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-28.924_not_above_10.000
2,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold8_3p0x_0p15_57756910,donchian_atr_volatility_breakout,SOLUSDT,2h,long_short,12,0.5,0.0,8,2,btc_regime_mid_exit,False,,,,,3.0,0.15,0.44999999999999996,0.3061937585844712,0.31686017074192296,-0.04808445482640955,0.18834052997694406,0.06663532810413253,0.08237401102027808,1.1726287525956867,5.202821551072315,-2.5155952684941982,242,49,36,1793,419,221,0.9663371633851091,-0.010666412157451788,28.11696589389084,143.70075770608753,-29.681762238524417,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_below_validation_return;train_validation_return_ratio_0.9663_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-29.682_not_above_10.000
3,a30fb_voladj_trend_4h_ethusdt_lb6_z1p0_hold12_cool2_adx20_low_vol_q75_3p0x_0p15_6f053d44,volatility_adjusted_trend_persistence,ETHUSDT,4h,long_short,6,1.0,0.25,12,2,adx20_low_vol_q75,False,,,,,3.0,0.15,0.44999999999999996,0.3334865431937457,0.2850697772163153,-0.07646702582753273,0.1385850347048363,0.10202581267971345,0.09765851131561887,1.1931454841855558,4.261541590948517,-3.037177942727084,235,60,32,1511,380,219,1.1698418066278944,0.04841676597743039,31.535370514775014,105.58139896900569,-53.10210126911996,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-53.102_not_above_10.000
4,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold4_3p0x_0p1_da028a8b,donchian_atr_volatility_breakout,SOLUSDT,2h,long_short,12,0.5,0.0,4,2,btc_regime_mid_exit,False,,,,,3.0,0.1,0.30000000000000004,0.24276072824379025,0.21940816240057281,-0.034728271130099686,0.11139867076233145,0.032945787653336445,0.0497046350552911,1.4071755825168875,5.544701884606963,-2.8124423285829128,252,52,40,1654,408,210,1.1064343531604022,0.023352565843217432,32.11120743965479,140.64625794908514,-28.940225941749734,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-28.940_not_above_10.000
5,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold4_2p0x_0p15_d9c47291,donchian_atr_volatility_breakout,SOLUSDT,2h,long_short,12,0.5,0.0,4,2,btc_regime_mid_exit,False,,,,,2.0,0.15,0.3,0.24276072824379002,0.2194081624005726,-0.034728271130099686,0.11139867076233156,0.032945787653336445,0.0497046350552911,1.4071755825168877,5.544701884606964,-2.8124423285829137,252,52,40,1654,408,210,1.1064343531604022,0.023352565843217432,32.11120743965477,140.646257949085,-28.94022594174974,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-28.940_not_above_10.000
6,a30fb_donchian_atr_1h_solusdt_lb24_atr0p5_hold4_3p0x_0p15_ec23855f,donchian_atr_volatility_breakout,SOLUSDT,1h,long_short,24,0.5,0.0,4,2,btc_regime_mid_exit,False,,,,,3.0,0.15,0.44999999999999996,0.2425764533388226,0.2288348858724043,-0.05353375248085812,0.20070136662682625,0.052319338583201924,0.06689458505874424,0.9670519031283504,3.8565695297035067,-2.828614091279623,300,66,48,3394,813,457,1.0600501423287376,0.013741567466418303,17.96862617324612,77.04878312202166,-24.784144667063945,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-24.784_not_above_10.000
7,a30fb_donchian_atr_1h_solusdt_lb24_atr0p5_hold8_3p0x_0p15_fb1a9c9c,donchian_atr_volatility_breakout,SOLUSDT,1h,long_short,24,0.5,0.0,8,2,btc_regime_mid_exit,False,,,,,3.0,0.15,0.44999999999999996,0.24388344516412896,0.2974783507991672,-0.059834618480185675,0.18949465723949666,0.04305818877534828,0.07310650460495394,0.968638197845344,4.731574727652319,-3.2187513640532983,300,64,46,3446,878,462,0.8198359460745395,-0.053594905635038215,18.06544038252807,103.29109402748861,-28.905612792360234,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_below_validation_return;train_validation_return_ratio_0.8198_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-28.906_not_above_10.000
8,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold12_3p0x_0p15_e7f253e9,donchian_atr_volatility_breakout,SOLUSDT,2h,long_short,12,0.5,0.0,12,2,btc_regime_mid_exit,False,,,,,3.0,0.15,0.44999999999999996,0.4803266591710089,0.2192393055187447,-0.03587503252508073,0.12639937014599922,0.08586363974162181,0.0776336844794201,1.604210728696685,3.7724395700869855,-1.7899262952819577,226,49,36,1998,443,261,2.190878401272538,0.2610873536522642,47.22975999714936,99.42825647108606,-22.14508180560539,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-22.145_not_above_10.000
9,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold8_3p0x_0p1_7418ea24,donchian_atr_volatility_breakout,SOLUSDT,2h,long_short,12,0.5,0.0,8,2,btc_regime_mid_exit,False,,,,,3.0,0.1,0.30000000000000004,0.20358108871158342,0.20300159482505498,-0.03201399511463454,0.1291482342602288,0.04486703194093,0.055530808323182135,1.1726287525956864,5.202821551072315,-2.515595268494198,242,49,36,1793,419,221,1.0028546272605783,0.0005794938865284482,28.041472274322782,138.09632301024146,-29.642588069106054,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-29.643_not_above_10.000
10,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold8_2p0x_0p15_272b8c55,donchian_atr_volatility_breakout,SOLUSDT,2h,long_short,12,0.5,0.0,8,2,btc_regime_mid_exit,False,,,,,2.0,0.15,0.3,0.20358108871158254,0.20300159482505475,-0.03201399511463454,0.12914823426022903,0.04486703194093,0.055530808323182135,1.1726287525956864,5.202821551072314,-2.5155952684941982,242,49,36,1793,419,221,1.002854627260575,0.0005794938865277821,28.041472274322665,138.09632301024135,-29.64258806910606,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-29.643_not_above_10.000
