decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
1,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold4_3p0x_0p15_4ee824f8,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,2h,0.37159208103659314,0.3438555036641264,-0.05206271535044571,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-28.924_not_above_10.000
2,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold8_3p0x_0p15_57756910,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,2h,0.3061937585844712,0.31686017074192296,-0.04808445482640955,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.9663_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-29.682_not_above_10.000
3,a30fb_voladj_trend_4h_ethusdt_lb6_z1p0_hold12_cool2_adx20_low_vol_q75_3p0x_0p15_6f053d44,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.3334865431937457,0.2850697772163153,-0.07646702582753273,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-53.102_not_above_10.000
4,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold4_3p0x_0p1_da028a8b,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,2h,0.24276072824379025,0.21940816240057281,-0.034728271130099686,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-28.940_not_above_10.000
5,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold4_2p0x_0p15_d9c47291,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,2h,0.24276072824379002,0.2194081624005726,-0.034728271130099686,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-28.940_not_above_10.000
6,a30fb_donchian_atr_1h_solusdt_lb24_atr0p5_hold4_3p0x_0p15_ec23855f,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,1h,0.2425764533388226,0.2288348858724043,-0.05353375248085812,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-24.784_not_above_10.000
7,a30fb_donchian_atr_1h_solusdt_lb24_atr0p5_hold8_3p0x_0p15_fb1a9c9c,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,1h,0.24388344516412896,0.2974783507991672,-0.059834618480185675,False,False,False,train_return_below_validation_return;train_validation_return_ratio_0.8198_below_1.00;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-28.906_not_above_10.000
8,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold12_3p0x_0p15_e7f253e9,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,2h,0.4803266591710089,0.2192393055187447,-0.03587503252508073,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-22.145_not_above_10.000
9,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold8_3p0x_0p1_7418ea24,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,2h,0.20358108871158342,0.20300159482505498,-0.03201399511463454,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-29.643_not_above_10.000
10,a30fb_donchian_atr_2h_solusdt_lb12_atr0p5_hold8_2p0x_0p15_272b8c55,no_promotion_shadow_or_reject,donchian_atr_volatility_breakout,SOLUSDT,2h,0.20358108871158254,0.20300159482505475,-0.03201399511463454,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-29.643_not_above_10.000
11,a30fb_voladj_trend_4h_ethusdt_lb6_z1p0_hold12_cool2_adx20_low_vol_q75_2p0x_0p15_dbbfdf4d,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.2214237223564628,0.18396672139881298,-0.05111993407180071,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-53.250_not_above_10.000
12,a30fb_voladj_trend_4h_ethusdt_lb6_z1p0_hold12_cool2_adx20_low_vol_q75_3p0x_0p1_d44b8900,no_promotion_shadow_or_reject,volatility_adjusted_trend_persistence,ETHUSDT,4h,0.22142372235646235,0.18396672139881298,-0.05111993407180071,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-53.250_not_above_10.000
