rank,model_id,family,symbol,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,filter_label,feature_backed,feature_train_coverage,feature_validation_coverage,feature_locked_oos_coverage,max_asof_feature_age_hours,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,primary_10bps_promotion_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,replay_live_notional_parity,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons
250,a30fb_donchian_atr_30m_ethusdt_lb12_atr0p5_hold8_3p0x_0p15_6d5fd55a,donchian_atr_volatility_breakout,ETHUSDT,30m,long_short,12,0.5,0.0,8,2,btc_regime_mid_exit,False,,,,,3.0,0.15,0.44999999999999996,0.1529755231779606,0.07633487974566577,0.00202942362421088,0.1386036434579545,0.06286876199691827,0.04146124802069795,0.7519013612676969,1.5339153880862506,0.19030203551386662,914,222,106,6085,1489,683,2.004005556668823,0.07664064343229482,3.719317363918323,7.641129103670249,0.42545568641737525,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_3.719_not_above_10.000;validation_return_per_turnover_proxy_bps_7.641_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_0.425_not_above_10.000
332,a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_low_vol_q70_3p0x_0p15_144859db,volatility_adjusted_trend_persistence,TRXUSDT,4h,long_short,6,1.5,0.25,12,2,low_vol_q70,False,,,,,3.0,0.15,0.44999999999999996,0.17448202025522286,0.035094263820031335,0.0031013449267609516,0.08291928965008077,0.02420577956060288,0.02086497729648973,1.2061782808683454,1.6417559887752216,0.4222280246984568,195,52,29,1295,316,177,4.971810240841435,0.13938775643519152,19.883990912276115,14.997548641039034,2.3765095224221855,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_2.377_not_above_10.000
348,a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_adx20_low_vol_q75_3p0x_0p15_2f65923b,volatility_adjusted_trend_persistence,TRXUSDT,4h,long_short,6,1.5,0.25,12,2,adx20_low_vol_q75,False,,,,,3.0,0.15,0.44999999999999996,0.18586538576479672,0.032841644841804074,0.0031013449267609516,0.06973157043057165,0.024158467530624672,0.02086497729648973,1.2626433543507138,1.558739119458827,0.4222280246984568,197,50,29,1303,304,177,5.659442048657958,0.15302374092299265,20.966202567940975,14.596286596357368,2.3765095224221855,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_2.377_not_above_10.000
449,a30fb_donchian_atr_30m_ethusdt_lb12_atr0p5_hold8_3p0x_0p1_c8b080a8,donchian_atr_volatility_breakout,ETHUSDT,30m,long_short,12,0.5,0.0,8,2,btc_regime_mid_exit,False,,,,,3.0,0.1,0.30000000000000004,0.10557789618796765,0.05152168244751887,0.0015700336255648484,0.09365071301279093,0.04220541444495396,0.02776807647014279,0.7519013612676972,1.5339153880862502,0.19030203551386657,914,222,106,6085,1489,683,2.0491934884989758,0.05405621374044878,3.8503973810345595,7.735988355483312,0.49372126590089566,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_3.850_not_above_10.000;validation_return_per_turnover_proxy_bps_7.736_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_0.494_not_above_10.000
450,a30fb_donchian_atr_30m_ethusdt_lb12_atr0p5_hold8_2p0x_0p15_dd6d5130,donchian_atr_volatility_breakout,ETHUSDT,30m,long_short,12,0.5,0.0,8,2,btc_regime_mid_exit,False,,,,,2.0,0.15,0.3,0.10557789618796765,0.051521682447517314,0.0015700336255648484,0.09365071301279093,0.04220541444495396,0.027768076470142677,0.7519013612676971,1.5339153880862502,0.19030203551386696,914,222,106,6085,1489,683,2.049193488499038,0.05405621374045033,3.8503973810345604,7.73598835548308,0.49372126590089577,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_3.850_not_above_10.000;validation_return_per_turnover_proxy_bps_7.736_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_0.494_not_above_10.000
452,a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_low_vol_q70_3p0x_0p1_6fa819a1,volatility_adjusted_trend_persistence,TRXUSDT,4h,long_short,6,1.5,0.25,12,2,low_vol_q70,False,,,,,3.0,0.1,0.30000000000000004,0.11565714434561447,0.02347651127150807,0.002120933332841579,0.05585685294732412,0.016184977633475373,0.013935622349335763,1.2061782808683454,1.6417559887752218,0.422228024698457,195,52,29,1295,316,177,4.926504752261896,0.0921806330741064,19.77045202489136,15.049045686864146,2.4378544055650333,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_2.438_not_above_10.000
453,a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_low_vol_q70_2p0x_0p15_1ea8ea41,volatility_adjusted_trend_persistence,TRXUSDT,4h,long_short,6,1.5,0.25,12,2,low_vol_q70,False,,,,,2.0,0.15,0.3,0.11565714434561425,0.02347651127150807,0.002120933332841579,0.05585685294732412,0.016184977633475373,0.013935622349335763,1.2061782808683454,1.6417559887752222,0.4222280246984561,195,52,29,1295,316,177,4.926504752261886,0.09218063307410618,19.770452024891327,15.049045686864147,2.4378544055650337,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_2.438_not_above_10.000
469,a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_adx20_low_vol_q75_2p0x_0p15_63f1d28c,volatility_adjusted_trend_persistence,TRXUSDT,4h,long_short,6,1.5,0.25,12,2,adx20_low_vol_q75,False,,,,,2.0,0.15,0.3,0.12290735798302266,0.021985848611739245,0.002120933332841579,0.04693984303100773,0.016153209264467172,0.013935622349335763,1.2626433543507138,1.5587391194588274,0.4222280246984561,197,50,29,1303,304,177,5.590294018371291,0.10092150937128341,20.79650727293108,14.657232407826164,2.4378544055650337,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_2.438_not_above_10.000
470,a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_adx20_low_vol_q75_3p0x_0p1_c9c4ba31,volatility_adjusted_trend_persistence,TRXUSDT,4h,long_short,6,1.5,0.25,12,2,adx20_low_vol_q75,False,,,,,3.0,0.1,0.30000000000000004,0.12290735798302266,0.021985848611739245,0.002120933332841579,0.04693984303100773,0.016153209264467172,0.013935622349335763,1.2626433543507136,1.5587391194588276,0.422228024698457,197,50,29,1303,304,177,5.590294018371291,0.10092150937128341,20.796507272931073,14.657232407826163,2.4378544055650333,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_2.438_not_above_10.000
550,a30fb_voladj_trend_6h_solusdt_lb6_z1p5_hold4_cool0_adx20_low_vol_q75_3p0x_0p1_daf5e909,volatility_adjusted_trend_persistence,SOLUSDT,6h,long_short,6,1.5,0.25,4,0,adx20_low_vol_q75,False,,,,,3.0,0.1,0.30000000000000004,0.07733130543280553,0.03814821657697465,0.002862201390626984,0.1622120921037502,0.09052531829099952,0.030671176115934062,0.585830343661115,1.0447926783859207,0.28290548975700786,216,58,31,567,152,76,2.027127671270506,0.03918308885583088,11.933843430988505,21.92426240056014,3.0776359038999823,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_3.078_not_above_10.000
551,a30fb_voladj_trend_6h_solusdt_lb6_z1p5_hold4_cool0_adx20_low_vol_q75_2p0x_0p15_2bdd46d9,volatility_adjusted_trend_persistence,SOLUSDT,6h,long_short,6,1.5,0.25,4,0,adx20_low_vol_q75,False,,,,,2.0,0.15,0.3,0.07733130543280509,0.03814821657697465,0.002862201390626984,0.1622120921037502,0.09052531829099952,0.030671176115934062,0.585830343661115,1.0447926783859218,0.2829054897570077,216,58,31,567,152,76,2.0271276712704944,0.03918308885583044,11.93384343098844,21.924262400560146,3.077635903899983,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_3.078_not_above_10.000
664,a30fb_voladj_trend_6h_solusdt_lb6_z1p0_hold4_cool2_adx15_2p0x_0p15_b543cc65,volatility_adjusted_trend_persistence,SOLUSDT,6h,long_short,6,1.0,0.25,4,2,adx15,False,,,,,2.0,0.15,0.3,0.03661147301282974,0.03149949512936523,7.457854928127894e-05,0.14816229495879518,0.06745961734834194,0.03228824585115886,0.2801361234805236,0.846710341392495,0.05797017072297038,258,66,31,872,221,95,1.1622876132607884,0.0051119778834645135,4.730164471941828,15.908835923921833,0.08019198847449349,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_4.730_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_0.080_not_above_10.000
665,a30fb_voladj_trend_6h_solusdt_lb6_z1p0_hold4_cool2_adx15_3p0x_0p1_e40ddc15,volatility_adjusted_trend_persistence,SOLUSDT,6h,long_short,6,1.0,0.25,4,2,adx15,False,,,,,3.0,0.1,0.30000000000000004,0.03661147301282974,0.03149949512936523,7.457854928127894e-05,0.14816229495879518,0.06745961734834194,0.03228824585115886,0.2801361234805235,0.8467103413924951,0.05797017072297038,258,66,31,872,221,95,1.1622876132607884,0.0051119778834645135,4.730164471941827,15.908835923921831,0.08019198847449348,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_4.730_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_0.080_not_above_10.000
990,a30fb_voladj_trend_6h_btcusdt_lb6_z1p0_hold8_cool2_low_vol_q70_3p0x_0p15_45cc03c1,volatility_adjusted_trend_persistence,BTCUSDT,6h,long_short,6,1.0,0.25,8,2,low_vol_q70,False,,,,,3.0,0.15,0.44999999999999996,0.1693120806601467,0.02718447561261539,0.009459417187737573,0.0823934427530546,0.10378703837896819,0.04938455116337204,1.0833050697473061,0.6784630016418475,0.6406427073304195,203,48,27,894,214,116,6.22826362637559,0.1421276050475313,18.534436853874844,12.58540537621083,7.78552854957825,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_7.786_not_above_10.000
1074,a30fb_voladj_trend_6h_solusdt_lb6_z1p0_hold4_cool2_adx20_low_vol_q75_3p0x_0p1_17e2cff4,volatility_adjusted_trend_persistence,SOLUSDT,6h,long_short,6,1.0,0.25,4,2,adx20_low_vol_q75,False,,,,,3.0,0.1,0.30000000000000004,0.2330525528289773,0.02316442175431721,0.0013030699299083626,0.12269502674656774,0.11226669796801847,0.030842246273472207,1.2854846861982288,0.664794959846107,0.1529271909200373,272,70,37,724,180,89,10.060797342611961,0.2098881310746601,28.560361866296233,11.030677025865335,1.1739368737913174,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.30000000000000004, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.30000000000000004, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_1.174_not_above_10.000
1075,a30fb_voladj_trend_6h_solusdt_lb6_z1p0_hold4_cool2_adx20_low_vol_q75_2p0x_0p15_aa03a778,volatility_adjusted_trend_persistence,SOLUSDT,6h,long_short,6,1.0,0.25,4,2,adx20_low_vol_q75,False,,,,,2.0,0.15,0.3,0.23305255282897708,0.02316442175431721,0.0013030699299083626,0.12269502674656774,0.11226669796801847,0.030842246273472207,1.2854846861982292,0.6647949598461081,0.15292719092003798,272,70,37,724,180,89,10.060797342611952,0.20988813107465987,28.560361866296212,11.030677025865337,1.1739368737913176,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_1.174_not_above_10.000
1252,a30fb_voladj_trend_30m_ethusdt_lb12_z1p0_hold12_cool0_adx15_2p0x_0p15_cf558d73,volatility_adjusted_trend_persistence,ETHUSDT,30m,long_short,12,1.0,0.25,12,0,adx15,False,,,,,2.0,0.15,0.3,0.1544075587845697,0.025474712195438842,0.005584970145426915,0.16211819135611838,0.06528820329715723,0.0387352547819062,0.8890906848231368,0.6991935243193496,0.4392236801359369,1577,381,201,11769,2802,1496,6.061209155180007,0.12893284658913085,3.263740409735145,2.228758722260616,0.9261973707175647,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.3, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.3, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,train_return_per_turnover_proxy_bps_3.264_not_above_10.000;validation_return_per_turnover_proxy_bps_2.229_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_0.926_not_above_10.000
