shadow_rank,model_id,profile_id,source_profile_id,symbol,asset_group,family,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,notional_fraction,target_train_rows,target_validation_rows,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,donor_symbol,donor_asset_group,donor_model_id,donor_selection_score,donor_quality_score,donor_train_return,donor_validation_return,donor_train_return_per_turnover_proxy_bps,donor_validation_return_per_turnover_proxy_bps,shadow_validation_score,primary_shadow_selected,oracle_shadow_selected,shadow_multiplier,weighted_notional_fraction,promotion_status,ready_for_paper,ready_for_real,real_money_execution,real_execution_allowed,rejection_reasons
1,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow_cross_sectional_momentum_rank_1h_muusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_6ab1aee1,aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow,aggressive_mdd30_gross10_69_asset_profile_optuna,MUUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,12,0.2,0.5,54,6,7,0.7000000000000001,0,1263,0.0,0.6879063680235378,0.0,0.09712051739828009,0,35,,280.7781093973623,INTCUSDT,tradfi_equity,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_intcusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_289c9961,70.33183476442264,5.568834764422636,0.09468006062339884,0.6687150986948263,48.30615337928512,308.1636399515328,9.330808536008064,True,True,0.1587301587301587,0.11111111111111109,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
2,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow_cross_sectional_momentum_rank_1h_dramusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_da66cca3,aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow,aggressive_mdd30_gross10_69_asset_profile_optuna,DRAMUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,12,0.2,0.5,54,6,7,0.7000000000000001,0,278,0.0,0.14931652191437572,0.0,0.055102509856921,0,7,,304.7275957436239,INTCUSDT,tradfi_equity,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_intcusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_289c9961,69.34683476442264,5.568834764422636,0.09468006062339884,0.6687150986948263,48.30615337928512,308.1636399515328,3.858639767977867,True,True,0.1587301587301587,0.11111111111111109,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;validation_trade_event_count_7_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
3,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow_cross_sectional_momentum_rank_1h_amdusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_c8be084c,aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow,aggressive_mdd30_gross10_69_asset_profile_optuna,AMDUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,12,0.2,0.5,54,6,7,0.7000000000000001,0,567,0.0,0.15623916815959515,0.0,0.07817044920426863,0,14,,159.42772261183177,INTCUSDT,tradfi_equity,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_intcusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_289c9961,69.63583476442263,5.568834764422636,0.09468006062339884,0.6687150986948263,48.30615337928512,308.1636399515328,2.9997390021659958,True,True,0.1587301587301587,0.11111111111111109,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;validation_trade_event_count_14_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
4,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow_cross_sectional_momentum_rank_1h_armusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_e5599479,aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow,aggressive_mdd30_gross10_69_asset_profile_optuna,ARMUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,12,0.2,0.5,54,6,7,0.7000000000000001,0,87,0.0,0.060530068826153416,0.0,0.06593486088719158,0,3,,288.2384229816829,INTCUSDT,tradfi_equity,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_intcusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_289c9961,69.15583476442264,5.568834764422636,0.09468006062339884,0.6687150986948263,48.30615337928512,308.1636399515328,2.8995286751563634,True,True,0.1587301587301587,0.11111111111111109,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;validation_trade_event_count_3_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
5,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow_cross_sectional_momentum_rank_1h_mrvlusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_4883cb7e,aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow,aggressive_mdd30_gross10_69_asset_profile_optuna,MRVLUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,12,0.2,0.5,54,6,7,0.7000000000000001,0,350,0.0,0.0675714375622769,0.0,0.08152761860105273,0,9,,107.2562500988522,INTCUSDT,tradfi_equity,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_intcusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_289c9961,69.41883476442263,5.568834764422636,0.09468006062339884,0.6687150986948263,48.30615337928512,308.1636399515328,1.5379302115076066,True,True,0.1587301587301587,0.11111111111111109,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;validation_trade_event_count_9_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
6,az69_growth_mdd20_gross8_69_asset_profile_optuna_cold_start_transfer_shadow_volatility_adjusted_trend_persistence_30m_spyusdt_lb6_th0p7_exit0p45_hold60_cool15_lev3_long_only_a3a8a46c,growth_mdd20_gross8_69_asset_profile_optuna_cold_start_transfer_shadow,growth_mdd20_gross8_69_asset_profile_optuna,SPYUSDT,tradfi_etf_index,volatility_adjusted_trend_persistence,30m,long_only,6,0.7000000000000001,0.45,60,15,3,0.30000000000000004,0,2572,0.0,0.03350095121758834,0.0,0.006302025913403564,0,63,,17.725371014597002,EWJUSDT,tradfi_etf_index,az69_growth_mdd20_gross8_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_ewjusdt_lb6_th0p7_exit0p45_hold60_cool15_lev3_long_only_8d17fb34,66.03254481241456,0.5325448124145644,0.013914375517563915,0.027712859227313036,24.41118511853318,15.143638922028979,0.9902061316249409,True,True,0.3703703703703703,0.1111111111111111,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
7,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow_cross_sectional_momentum_rank_1h_sndkusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_14bcf4ac,aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow,aggressive_mdd30_gross10_69_asset_profile_optuna,SNDKUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,12,0.2,0.5,54,6,7,0.7000000000000001,0,1263,0.0,0.42141722553559924,0.0,0.15718534683123953,0,37,,162.70935348864833,INTCUSDT,tradfi_equity,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_intcusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_289c9961,70.33183476442264,5.568834764422636,0.09468006062339884,0.6687150986948263,48.30615337928512,308.1636399515328,5.599450409666471,True,False,0.1587301587301587,0.11111111111111109,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
8,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow_cross_sectional_momentum_rank_1h_soxlusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_4f024709,aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow,aggressive_mdd30_gross10_69_asset_profile_optuna,SOXLUSDT,tradfi_etf_index,cross_sectional_momentum_rank,1h,long_only,12,0.2,0.5,54,6,7,0.7000000000000001,0,350,0.0,0.11725169469744512,0.0,0.1349682989041079,0,9,,186.11380110705574,INTCUSDT,tradfi_equity,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_intcusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_289c9961,61.418834764422634,5.568834764422636,0.09468006062339884,0.6687150986948263,48.30615337928512,308.1636399515328,2.6362659118806313,True,False,0.1587301587301587,0.11111111111111109,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;validation_trade_event_count_9_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
9,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow_cross_sectional_momentum_rank_1h_qcomusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_bf025e0d,aggressive_mdd30_gross10_69_asset_profile_optuna_cold_start_transfer_shadow,aggressive_mdd30_gross10_69_asset_profile_optuna,QCOMUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_only,12,0.2,0.5,54,6,7,0.7000000000000001,0,567,0.0,0.146808970332182,0.0,0.1170841273901787,0,17,,123.3688826320857,INTCUSDT,tradfi_equity,az69_aggressive_mdd30_gross10_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_intcusdt_lb12_th0p2_exit0p5_hold54_cool6_lev7_long_only_289c9961,69.63583476442263,5.568834764422636,0.09468006062339884,0.6687150986948263,48.30615337928512,308.1636399515328,2.433650750443718,True,False,0.1587301587301587,0.11111111111111109,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;validation_trade_event_count_17_below_30;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
10,az69_growth_mdd20_gross8_69_asset_profile_optuna_cold_start_transfer_shadow_volatility_adjusted_trend_persistence_30m_qqqusdt_lb6_th0p7_exit0p45_hold60_cool15_lev3_long_only_39f53037,growth_mdd20_gross8_69_asset_profile_optuna_cold_start_transfer_shadow,growth_mdd20_gross8_69_asset_profile_optuna,QQQUSDT,tradfi_etf_index,volatility_adjusted_trend_persistence,30m,long_only,6,0.7000000000000001,0.45,60,15,3,0.30000000000000004,0,2572,0.0,0.044493425691447985,0.0,0.011551631600348222,0,65,,22.81714138022973,EWJUSDT,tradfi_etf_index,az69_growth_mdd20_gross8_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_ewjusdt_lb6_th0p7_exit0p45_hold60_cool15_lev3_long_only_8d17fb34,60.032544812414564,0.5325448124145644,0.013914375517563915,0.027712859227313036,24.41118511853318,15.143638922028979,1.1326749601155583,True,False,0.3703703703703703,0.1111111111111111,blocked_shadow_only_no_target_train_rows,False,False,False,False,train_trade_event_count_0_below_80;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_missing_not_above_10.000;target_symbol_has_no_train_rows;cold_start_transfer_shadow_report_only_not_promotable
