symbol,asset_group,family,timeframe,donor_symbol,weighted_notional_fraction,validation_return,validation_mdd,validation_return_per_turnover_proxy_bps,validation_simple_pnl_contribution_proxy
MUUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.6879063680235378,0.09712051739828009,280.7781093973623,0.10919148698786312
SNDKUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.42141722553559924,0.15718534683123953,162.70935348864833,0.06689162310088875
AMDUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.15623916815959515,0.07817044920426863,159.42772261183177,0.024799867961840496
DRAMUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.14931652191437572,0.055102509856921,304.7275957436239,0.023701035224504074
QCOMUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.146808970332182,0.1170841273901787,123.3688826320857,0.023303011163838403
SOXLUSDT,tradfi_etf_index,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.11725169469744512,0.1349682989041079,186.11380110705574,0.01861138011070557
QQQUSDT,tradfi_etf_index,volatility_adjusted_trend_persistence,30m,EWJUSDT,0.1111111111111111,0.044493425691447985,0.011551631600348222,22.81714138022973,0.01647904655238814
SPYUSDT,tradfi_etf_index,volatility_adjusted_trend_persistence,30m,EWJUSDT,0.1111111111111111,0.03350095121758834,0.006302025913403564,17.725371014597002,0.012407759710217901
MRVLUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.0675714375622769,0.08152761860105273,107.2562500988522,0.01072562500988522
ARMUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.060530068826153416,0.06593486088719158,288.2384229816829,0.00960794743272276
AVGOUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.053079102636280906,0.04922974638459887,36.108233085905376,0.008425254386711252
TSMUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,0.027449722626483153,0.07456955016684363,13.52203085048431,0.0043570988296005
QNTXUSDT,tradfi_premarket,cross_sectional_momentum_rank,30m,PLTRUSDT,0.1111111111111111,0.014019133786532523,0.020115455022381656,116.82611488777101,0.002596135886394911
WDCUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,-0.0032160505767232506,0.05632722216210595,-22.971789833737503,-0.0005104842185275
OPENAIUSDT,tradfi_premarket,cross_sectional_momentum_rank,30m,PLTRUSDT,0.1111111111111111,-0.016343225742129763,0.03676642023279042,-30.265232855795855,-0.003026523285579585
SPCXUSDT,tradfi_premarket,cross_sectional_momentum_rank,4h,PLTRUSDT,0.1111111111111111,-0.02923163450222399,0.04808259587020669,-292.3163450222399,-0.003247959389135999
BABAUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,AMZNUSDT,0.1111111111111111,-0.00787970134835514,0.017678779056766403,-24.62406671360981,-0.004377611860197299
COHRUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,INTCUSDT,0.11111111111111109,-0.04915874443862012,0.07177705231266296,-702.267777694573,-0.007802975307717477
