profile_id,symbol,asset_group,family,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_trade_event_count,validation_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,profile_objective_score,dominant_anchor,dominant_anchor_abs_corr,ready_for_paper,rejection_reasons,source_profile_id,source_model_id,live_efficiency_score,efficiency_repair_reasons
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,BTCUSDT,crypto_core,cross_sectional_momentum_rank,2h,long_only,12,0.3,0.6,48,3,1,0.1,0.0007953853423159352,-0.0028639916236484764,0.03841548215684021,0.016082824069319268,125,20,0.6363082738527481,-14.319958118242383,-0.2453472935114134,,high_beta_alt_sol,0.01676825091921758,False,validation_trade_event_count_20_below_30;validation_return_-0.0029_below_0.02;train_return_per_turnover_proxy_bps_0.636_not_above_10.000;validation_return_per_turnover_proxy_bps_-14.320_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_2h_btcusdt_lb12_th0p3_exit0p6_hold48_cool3_lev1_long_only_79e6ab7d,-15.440973026169656,validation_return_not_positive;train_rpt_0.636_not_above_10bps;validation_rpt_-14.320_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,ETHUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,short_only,12,1.4,0.4,18,18,5,0.5,0.12296370506731313,0.004318476348742939,0.2167749185254797,0.05034545414792069,600,76,4.098790168910438,1.1364411444060367,-0.11357258271097077,,silver_metal_beta,0.02537803193528717,False,validation_return_0.0043_below_0.02;train_return_per_turnover_proxy_bps_4.099_not_above_10.000;validation_return_per_turnover_proxy_bps_1.136_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_ethusdt_lb12_th1p4_exit0p4_hold18_cool18_lev5_short_only_88a82596,-11.797181799259354,train_rpt_4.099_not_above_10bps;validation_rpt_1.136_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,SOLUSDT,crypto_core,volatility_adjusted_trend_persistence,4h,long_short,48,0.6000000000000001,0.35000000000000003,36,6,3,0.30000000000000004,0.11023611172871739,0.031876838326695855,0.14156879220796292,0.03012614662715185,78,9,47.109449456716824,118.06236417294761,1.6860152341787547,,high_beta_alt_sol,0.033978676073108775,False,train_trade_event_count_78_below_80;validation_trade_event_count_9_below_30,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_4h_solusdt_lb48_th0p6_exit0p35_hold36_cool6_lev3_long_short_b9298790,1.6410356328399853,
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,BNBUSDT,crypto_core,cross_sectional_momentum_rank,1h,short_only,48,0.05,0.5,54,15,3,0.30000000000000004,0.027345045765097664,0.005788980383583109,0.036910374310431204,0.005185658574980212,39,6,23.37183398726296,32.16100213101727,0.5863624306937241,,crypto_liquidity_eth,0.013294533021782639,False,train_trade_event_count_39_below_80;validation_trade_event_count_6_below_30;validation_return_0.0058_below_0.02,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_bnbusdt_lb48_th0p05_exit0p5_hold54_cool15_lev3_short_only_3045becd,-2.6790631671101113,validation_events_6_below_8
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,TRXUSDT,crypto_core,volatility_adjusted_trend_persistence,1h,long_only,6,1.3,0.15000000000000002,30,9,6,0.6000000000000001,0.10163424914604247,0.0037737090694740516,0.12884899193131882,0.03256147721479541,395,54,4.28836494287099,1.1647250214426084,-0.04571790904811314,,crypto_liquidity_eth,0.018214731698586496,False,validation_return_0.0038_below_0.02;train_return_per_turnover_proxy_bps_4.288_not_above_10.000;validation_return_per_turnover_proxy_bps_1.165_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_1h_trxusdt_lb6_th1p3_exit0p15_hold30_cool9_lev6_long_only_8b3d8711,-11.390899705818617,train_rpt_4.288_not_above_10bps;validation_rpt_1.165_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,XRPUSDT,crypto_core,trend_pullback_reclaim,30m,long_only,96,-0.75,0.0,24,15,3,0.30000000000000004,0.034099108557361424,0.0028143683197177083,0.09127168589909296,0.015289813439966826,64,4,17.759952373625737,23.4530693309809,0.37416650762411985,,high_beta_alt_sol,0.04119157497444714,False,train_trade_event_count_64_below_80;validation_trade_event_count_4_below_30;validation_return_0.0028_below_0.02,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_trend_pullback_reclaim_30m_xrpusdt_lb96_th-0p75_exit0_hold24_cool15_lev3_long_only_0bc05249,-6.131711020188809,validation_events_4_below_8
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,DOGEUSDT,crypto_core,cross_sectional_momentum_rank,1h,short_only,12,0.05,0.35,12,12,2,0.2,0.17778480218217974,-0.012705089258650104,0.06666682680100156,0.018326134890692347,332,28,26.774819605749958,-22.687659390446612,-0.22296449514365807,,crypto_liquidity_eth,0.015301300714141805,False,validation_trade_event_count_28_below_30;validation_return_-0.0127_below_0.02;validation_return_per_turnover_proxy_bps_-22.688_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_1h_dogeusdt_lb12_th0p05_exit0p35_hold12_cool12_lev2_short_only_5b714ea3,-13.576987504518534,validation_return_not_positive;validation_rpt_-22.688_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,ADAUSDT,crypto_core,cross_sectional_momentum_rank,4h,short_only,6,0.05,0.39999999999999997,42,18,3,0.30000000000000004,0.17947479293710078,0.017305400855920583,0.1307874611353096,0.030440253935924422,64,7,93.47645465473998,82.40667074247895,1.7372404227601472,,us_equity_beta_spy,0.032278410764497015,False,train_trade_event_count_64_below_80;validation_trade_event_count_7_below_30;validation_return_0.0173_below_0.02,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_4h_adausdt_lb6_th0p05_exit0p4_hold42_cool18_lev3_short_only_ad0b8fd3,1.1190987025426082,validation_events_7_below_8
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,AVAXUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,short_only,6,2.0,0.05,24,12,4,0.4,0.010291804118239156,0.01690029670353388,0.2325665074946518,0.047241204702956896,525,66,0.4900859103923408,6.401627539217378,0.0038460422007911554,,high_beta_alt_sol,0.016193759127512277,False,validation_return_0.0169_below_0.02;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_0.490_not_above_10.000;validation_return_per_turnover_proxy_bps_6.402_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_avaxusdt_lb6_th2_exit0p05_hold24_cool12_lev4_short_only_55f288f8,-11.153006060854407,train_below_validation_spike_risk;train_rpt_0.490_not_above_10bps;validation_rpt_6.402_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,TONUSDT,crypto_core,volatility_adjusted_trend_persistence,2h,long_short,24,2.0,0.05,72,6,4,0.4,0.3114301773141095,0.3090850708968318,0.1393660261404409,0.0783030969110654,72,8,108.1354782340658,965.8908465525993,4.567540230320085,,high_beta_alt_sol,0.014848062945894538,False,train_trade_event_count_72_below_80;validation_trade_event_count_8_below_30,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_2h_tonusdt_lb24_th2_exit0p05_hold72_cool6_lev4_long_short_ef3f28cf,6.236688362403058,
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,XAUUSDT,tradfi_commodity,cross_sectional_momentum_rank,2h,long_short,24,0.15000000000000002,0.55,72,3,2,0.2,0.019358561669367447,0.005089012169428031,0.023225435257937188,0.004978937610694456,16,2,60.49550521677327,127.22530423570078,1.6436701864176768,,precious_metal_gold,0.05155338919490279,False,train_trade_event_count_16_below_80;validation_trade_event_count_2_below_30;validation_return_0.0051_below_0.02,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_2h_xauusdt_lb24_th0p15_exit0p55_hold72_cool3_lev2_long_short_aa95705b,-1.3076022639187554,train_events_16_below_20;validation_events_2_below_8
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,XAGUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,1h,long_only,6,0.8,0.3,48,9,5,0.5,0.1538829362508609,0.07276002798067993,0.16469536482714142,0.05063850187291541,58,37,53.06308146581411,39.329744854421584,1.3678557689223771,,silver_metal_beta,0.030776332280309748,False,train_trade_event_count_58_below_80,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_1h_xagusdt_lb6_th0p8_exit0p3_hold48_cool9_lev5_long_only_564a2219,1.5428607350523207,
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,XPTUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,2h,long_short,6,0.8,0.15000000000000002,66,6,6,0.6000000000000001,0.14017114488401283,0.09250314631732937,0.07977724620146509,0.04711156565456576,20,17,116.809287403344,90.68935913463663,2.5313265066701063,,precious_metal_gold,0.03359949728957383,False,train_trade_event_count_20_below_80;validation_trade_event_count_17_below_30,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_2h_xptusdt_lb6_th0p8_exit0p15_hold66_cool6_lev6_long_short_976510bf,2.623919628854612,
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,XPDUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,4h,short_only,6,2.0,0.5,6,18,2,0.2,0.017496569861329414,0.0036178424973538625,0.010434020923731135,0.005893054266798203,9,10,97.20316589627451,18.089212486769313,1.0218149189796155,,tech_growth_qqq,0.03494607626866827,False,train_trade_event_count_9_below_80;validation_trade_event_count_10_below_30;validation_return_0.0036_below_0.02,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_4h_xpdusdt_lb6_th2_exit0p5_hold6_cool18_lev2_short_only_18dbcc03,-4.312472607633386,train_events_9_below_20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,COPPERUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,30m,long_short,72,1.2000000000000002,0.1,72,15,5,0.5,0.004385781747489714,0.03686214403616472,0.026648907255256038,0.028573532155053427,17,35,5.1597432323408405,21.06408230637984,0.3018431040762466,,energy_crude_beta,0.023224035156881317,False,train_trade_event_count_17_below_80;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_5.160_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_copperusdt_lb72_th1p2_exit0p1_hold72_cool15_lev5_long_short_24e9d49e,-8.244218348504678,train_below_validation_spike_risk;train_events_17_below_20;train_rpt_5.160_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,CLUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,1h,long_only,6,0.4,0.1,24,3,2,0.2,0.014556467434432507,0.02247138404012361,0.00795808442815793,0.03499120902631303,3,75,242.6077905738751,14.98092269341574,1.0218543842657717,,energy_crude_beta,0.03968005075071285,False,train_trade_event_count_3_below_80;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_1h_clusdt_lb6_th0p4_exit0p1_hold24_cool3_lev2_long_only_16262f55,-5.124390526593986,train_below_validation_spike_risk;train_events_3_below_20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,BZUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,4h,long_short,12,1.4,0.2,6,15,5,0.5,0.0004859377276951182,-0.020789854507252126,0.0009603868732762644,0.057029114373357115,1,22,9.718754553902365,-18.899867733865566,-0.5546289844060881,,energy_crude_beta,0.08092200543576131,False,train_trade_event_count_1_below_80;validation_trade_event_count_22_below_30;validation_return_-0.0208_below_0.02;train_return_per_turnover_proxy_bps_9.719_not_above_10.000;validation_return_per_turnover_proxy_bps_-18.900_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_4h_bzusdt_lb12_th1p4_exit0p2_hold6_cool15_lev5_long_short_3d1b3ef4,-18.332666176312944,validation_return_not_positive;train_events_1_below_20;train_rpt_9.719_not_above_10bps;validation_rpt_-18.900_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,NATGASUSDT,tradfi_commodity,cross_sectional_momentum_rank,30m,long_only,48,0.25,0.39999999999999997,30,3,2,0.2,-0.00017112375533423485,0.02102039339108952,0.00017112375533423485,0.012927012771841717,1,52,-8.556187766711743,20.21191672220146,0.16351611242253644,,crypto_liquidity_eth,0.044109510142417825,False,train_trade_event_count_1_below_80;train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-8.556_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_30m_natgasusdt_lb48_th0p25_exit0p4_hold30_cool3_lev2_long_only_1335fe64,-12.124335754582251,train_return_not_positive;train_below_validation_spike_risk;train_events_1_below_20;train_rpt_-8.556_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,EWYUSDT,tradfi_etf_index,cross_sectional_momentum_rank,4h,long_short,24,0.3,0.35,60,0,4,0.4,0.008290543451193066,0.19255961144705824,0.04629220890276742,0.054264399467663926,3,9,69.08786209327555,534.8878095751618,2.101353064125015,,precious_metal_gold,0.12345472280211724,False,train_trade_event_count_3_below_80;validation_trade_event_count_9_below_30;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_4h_ewyusdt_lb24_th0p3_exit0p35_hold60_cool0_lev4_long_short_f91f8742,-5.982950938961646,train_below_validation_spike_risk;train_events_3_below_20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,EWJUSDT,tradfi_etf_index,cross_sectional_momentum_rank,2h,long_only,6,0.1,0.5,54,3,5,0.5,0.0014862435974329902,-0.007029059267104176,0.023199888666883384,0.024237768713583074,3,10,9.908290649553267,-14.058118534208353,-0.2373593661923042,,energy_crude_beta,0.043367516387126354,False,train_trade_event_count_3_below_80;validation_trade_event_count_10_below_30;validation_return_-0.0070_below_0.02;train_return_per_turnover_proxy_bps_9.908_not_above_10.000;validation_return_per_turnover_proxy_bps_-14.058_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_2h_ewjusdt_lb6_th0p1_exit0p5_hold54_cool3_lev5_long_only_b01f80c7,-16.339083860276222,validation_return_not_positive;train_events_3_below_20;train_rpt_9.908_not_above_10bps;validation_rpt_-14.058_not_above_10bps
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,TSLAUSDT,tradfi_equity,cross_sectional_momentum_rank,30m,long_only,48,0.05,0.55,48,18,3,0.30000000000000004,0.0016511549536371017,0.012574609246837953,0.0065714749310401555,0.012716192709177565,2,10,27.519249227285027,41.9153641561265,0.6926449093978921,,tech_growth_qqq,0.04044674298268112,False,train_trade_event_count_2_below_80;validation_trade_event_count_10_below_30;validation_return_0.0126_below_0.02;train_return_below_validation_return_possible_validation_spike,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_cross_sectional_momentum_rank_30m_tslausdt_lb48_th0p05_exit0p55_hold48_cool18_lev3_long_only_7de52156,-3.2972554878093203,train_below_validation_spike_risk;train_events_2_below_20
balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,INTCUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_short,24,1.3,0.1,24,12,2,0.2,-0.012285294724352691,0.059901946880028145,0.027252298659078633,0.022634355240174986,89,79,-6.901850968737467,37.91262460761275,0.3730499637606436,,tech_growth_qqq,0.012752858073566294,False,train_return_not_positive;train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_-6.902_not_above_10.000,balanced_mdd12_gross5_69_asset_profile_optuna,az69_balanced_mdd12_gross5_69_asset_profile_optuna_volatility_adjusted_trend_persistence_30m_intcusdt_lb24_th1p3_exit0p1_hold24_cool12_lev2_long_short_fe75997e,-8.358780549602235,train_return_not_positive;train_below_validation_spike_risk;train_rpt_-6.902_not_above_10bps
