type,name,sleeves,weighted_notional,train_return_contribution_proxy,validation_return_contribution_proxy,train_trade_events,validation_trade_events,low_efficiency_notional,low_sample_notional
group,tradfi_equity,87,4.275321130916632,0.3465990360717944,0.7164362770946694,765,1486,2.973803886430983,3.853269290981576
group,crypto_core,27,1.437021146889097,0.6579226808633766,0.27104799888009157,6693,790,0.9708880464077263,0.3015543666647858
group,tradfi_commodity,18,0.9617239397885399,0.1638450815328233,0.06416810149683656,308,585,0.28204642068448565,0.4968188491894136
group,tradfi_etf_index,8,0.30312901222870925,0.007512112646102329,0.05271251055634799,80,236,0.17500327165158835,0.23647509852923154
group,tradfi_premarket,6,0.348549132313478,0.0,0.00954067294618948,0,23,0.348549132313478,0.348549132313478
profile,aggressive_mdd30_gross10_69_asset_efficiency_repair_optuna,57,3.63036176334773,0.5977935368861742,0.5433350092032735,2742,1268,2.65775905440377,2.7369555412075317
profile,balanced_mdd12_gross5_69_asset_efficiency_repair_optuna,45,1.9785337121963897,0.33986799228098624,0.3058454988233757,2715,960,0.9820346770968553,1.2918971087017497
profile,growth_mdd20_gross8_69_asset_efficiency_repair_optuna,44,1.7168488865923375,0.23821738194693623,0.2647250529474857,2389,892,1.1104970259876363,1.2078140877692025
symbol,TONUSDT,3,0.22672690638476978,0.1581877673994622,0.22790971905285637,579,60,0.0,0.0
symbol,CRCLUSDT,3,0.549510435584015,0.24875108560530443,0.19794943094405737,68,66,0.0,0.42667198407021445
symbol,MUUSDT,2,0.05413151030685684,0.0,0.0630632043245818,0,44,0.05413151030685684,0.05413151030685684
symbol,EWYUSDT,3,0.1947796542765986,0.006869002520032148,0.051248845632230824,53,139,0.06665391369947771,0.1281257405771209
symbol,SNDKUSDT,1,0.04333154832266911,0.0,0.049375799214837326,0,31,0.04333154832266911,0.04333154832266911
symbol,XAGUSDT,3,0.3412031584085926,0.10676689173505663,0.045751758387218844,185,113,0.04293845661447013,0.0
symbol,MSTRUSDT,3,0.21327111225849843,0.003920807015841925,0.04336976245350255,32,42,0.16223842943677594,0.11651970908493119
symbol,COINUSDT,3,0.2645068375132169,0.05496577681551939,0.04060390185809934,61,87,0.0,0.177819894277628
symbol,CBRSUSDT,1,0.16552029179590647,0.0,0.03186640873193848,0,13,0.16552029179590647,0.16552029179590647
symbol,GOOGLUSDT,3,0.19070850346778812,0.010387221529814313,0.028605887509334675,9,77,0.09413657716806054,0.19070850346778812
symbol,ORCLUSDT,2,0.1474995026780103,0.0,0.02834118493708943,0,16,0.1474995026780103,0.1474995026780103
symbol,INTCUSDT,2,0.03399922567281419,0.0027499280774364726,0.026315590466392976,117,110,0.009399421314201652,0.0
symbol,ADAUSDT,3,0.3255678215480735,0.33174326433045415,0.025791169402784433,681,76,0.27333742187494714,0.05223039967312641
symbol,BABAUSDT,3,0.26699366331880947,0.0,0.023753894501698628,0,19,0.26699366331880947,0.26699366331880947
symbol,AMZNUSDT,2,0.1375784999843646,0.0016724137193585053,0.01928626098605063,25,34,0.11744030136044366,0.1375784999843646
symbol,TSMUSDT,2,0.19324724149619865,0.0,0.01769745418743188,0,26,0.19324724149619865,0.19324724149619865
symbol,WMTUSDT,2,0.13062159343018828,0.0,0.016791588313014295,0,10,0.13062159343018828,0.13062159343018828
symbol,XPTUSDT,3,0.10747731135107885,0.02026437688122618,0.014621155487032819,44,38,0.011131431464570508,0.02659722873989837
symbol,MRVLUSDT,2,0.15474400619630682,0.0,0.014602845421406944,0,12,0.15474400619630682,0.15474400619630682
symbol,HOODUSDT,3,0.06491558509595718,0.007207697106194531,0.01360051070329242,152,133,0.02201775080086572,0.04289783429509147
symbol,USARUSDT,3,0.12811360403987826,0.0,0.01223466507697665,0,19,0.12811360403987826,0.12811360403987826
symbol,LITEUSDT,2,0.0666913195791126,0.0,0.01129775644724984,0,24,0.0666913195791126,0.0666913195791126
symbol,AAPLUSDT,2,0.08742155729594916,0.0,0.007837436662848227,0,20,0.08742155729594916,0.08742155729594916
symbol,PAYPUSDT,3,0.0757310006003021,0.0034065384040026514,0.007323705847740394,6,27,0.0,0.0757310006003021
symbol,PLTRUSDT,3,0.13045395100447543,0.011733577502153876,0.006867280965099041,241,226,0.05975806553841997,0.07069588546605546
symbol,METAUSDT,1,0.06964960528180392,0.0008199803073184253,0.006693171241083103,1,7,0.0,0.06964960528180392
symbol,JPMUSDT,3,0.13654579440111744,0.0,0.0050280558245069966,0,32,0.13654579440111744,0.13654579440111744
symbol,CRWVUSDT,2,0.03447536463957641,0.0,0.00447072339528219,0,14,0.03447536463957641,0.03447536463957641
symbol,FLNCUSDT,2,0.02585135677054504,0.0,0.004436662447303142,0,22,0.02585135677054504,0.02585135677054504
symbol,BEUSDT,1,0.07227809635400685,0.0,0.0038064357873589683,0,2,0.07227809635400685,0.07227809635400685
symbol,ETHUSDT,3,0.12708317120720192,-0.0016167362848849998,0.0035392416231752096,1109,149,0.10086917617256616,0.026213995034635767
symbol,HDUSDT,3,0.06067154004608703,0.0,0.003535682927058556,0,11,0.06067154004608703,0.06067154004608703
symbol,OPENAIUSDT,2,0.10118783582788432,0.0,0.003466613381713455,0,6,0.10118783582788432,0.10118783582788432
symbol,QNTXUSDT,2,0.2109590126409419,0.0,0.0034111374563710866,0,1,0.2109590126409419,0.2109590126409419
symbol,NVDAUSDT,3,0.06537640322632077,0.0011052597644712419,0.003359030888630537,20,142,0.03664566652129991,0.06537640322632077
symbol,AVGOUSDT,2,0.044838371513873196,0.0,0.0033258508915882307,0,28,0.044838371513873196,0.044838371513873196
symbol,DOGEUSDT,3,0.1766197934824001,0.07670339043732848,0.0033113081981883978,1099,106,0.1032107335894567,0.0734090598929434
symbol,ARMUSDT,2,0.02952765009844696,0.0,0.003303761254661427,0,10,0.02952765009844696,0.02952765009844696
symbol,UBERUSDT,1,0.060804612538141914,0.0,0.0032083812444579332,0,7,0.060804612538141914,0.060804612538141914
symbol,MSFTUSDT,3,0.0530622506964661,0.0,0.00296274627103253,0,39,0.0530622506964661,0.0530622506964661
symbol,TRXUSDT,3,0.13250213938154573,0.020062021537407562,0.0027896772401751367,774,98,0.06637415184313537,0.06612798753841034
symbol,QCOMUSDT,1,0.012296589269567459,0.0,0.002722993296411105,0,5,0.012296589269567459,0.012296589269567459
symbol,SPCXUSDT,2,0.036402283844651724,0.0,0.0026629221081049363,0,16,0.036402283844651724,0.036402283844651724
symbol,BNBUSDT,3,0.039189841267144546,0.005163016513024482,0.0025949993025700916,228,32,0.023483420345500324,0.005868094909774346
symbol,XRPUSDT,3,0.32443929911310515,0.052668171067071654,0.00252204938958246,703,87,0.32443929911310515,0.07770482961589555
symbol,TSLAUSDT,3,0.057326434702384584,-0.00012124977562141836,0.0023797843597845357,33,50,0.04987413776622385,0.057326434702384584
symbol,XPDUSDT,1,0.17498925994446288,0.022946334021781215,0.0022270796088284086,2,3,0.0,0.17498925994446288
symbol,SOLUSDT,3,0.03812687617935494,0.014166539891530671,0.0021114005953870594,800,88,0.03240854514351426,0.0
symbol,NATGASUSDT,2,0.03210220443441614,5.853209532779297e-05,0.0018992082616565921,5,120,0.03210220443441614,0.03210220443441614
symbol,XAUUSDT,2,0.08338606391942725,0.007207219970412744,0.0017877413194822343,42,10,0.0,0.04056421434007418
symbol,AMDUSDT,1,0.02083351286819525,0.0,0.0017606922759424827,0,7,0.02083351286819525,0.02083351286819525
symbol,COPPERUSDT,2,0.020165287453616523,0.002079794778675971,0.0013414291762395268,16,33,0.0,0.020165287453616523
symbol,NBISUSDT,2,0.04526681420744545,0.0,0.0013115155564688195,0,4,0.04526681420744545,0.04526681420744545
symbol,AVAXUSDT,1,0.024949664179824863,0.0006419426413865136,0.0010541418182314286,525,66,0.024949664179824863,0.0
symbol,DISUSDT,2,0.1548199568022781,0.0,0.0010133010723095642,0,10,0.1548199568022781,0.1548199568022781
symbol,SPYUSDT,1,0.014279880194978885,0.0,0.0009274484989507506,0,8,0.014279880194978885,0.014279880194978885
symbol,BRKBUSDT,1,0.07189619647333806,0.0,0.0009053735235538979,0,17,0.07189619647333806,0.07189619647333806
symbol,VUSDT,2,0.06055039929713827,0.0,0.0007879098413743292,0,8,0.06055039929713827,0.06055039929713827
symbol,WDCUSDT,2,0.05087147892934038,0.0,0.0007247079791215177,0,4,0.05087147892934038,0.05087147892934038
symbol,SOXLUSDT,1,0.012678297272183517,0.0,0.0005346038899383469,0,4,0.012678297272183517,0.012678297272183517
symbol,COHRUSDT,1,0.015510761020164287,0.0,0.00043238615841880915,0,4,0.015510761020164287,0.015510761020164287
symbol,BZUSDT,2,0.07083493858987053,7.315376246582379e-05,8.893075567745559e-05,2,40,0.07083493858987053,0.07083493858987053
symbol,EWJUSDT,3,0.08139118048494823,0.000643110126070182,1.6125352280731901e-06,27,85,0.08139118048494823,0.08139118048494823
symbol,CSCOUSDT,2,0.0338769521390777,0.0,-0.0005174586943219209,0,27,0.0338769521390777,0.0338769521390777
symbol,BTCUSDT,2,0.02181563414567655,0.00020330333059575677,-0.0005757077428590959,195,28,0.02181563414567655,0.0
symbol,CLUSDT,3,0.131565715687075,0.004448778287876893,-0.003549201499299321,12,228,0.12503938958115832,0.131565715687075
