rank,model_id,family,symbol,asset_group,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,integer_leverage,allocation_fraction,notional_fraction,train_return,validation_return,train_mdd,validation_mdd,train_sharpe,validation_sharpe,train_trade_event_count,validation_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,train_validation_score,sample_gate_pass,execution_efficiency_proxy_gate_pass,strict_backtest_gate_pass,relaxed_backtest_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,real_execution_allowed,rejection_reasons
1,az69_xsmom_4h_tonusdt_lb12_top0p2_hold12_lev4_7b6290aa,cross_sectional_momentum_rank,TONUSDT,crypto_core,4h,long_short,12,0.2,0.45,12,2,4,0.1,0.4,0.2553696556408027,0.6164547914828673,0.21993491000758603,0.047534488394900265,0.8698742732923077,7.789942326343293,233,29,1635,263,0.4142552854954977,-0.3610851358420646,27.400177643862953,531.4265443817822,4.658575107344188,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_29_below_30;train_return_below_validation_return_possible_validation_spike
2,az69_xsmom_4h_tonusdt_lb12_top0p2_hold6_lev4_96e0f9cc,cross_sectional_momentum_rank,TONUSDT,crypto_core,4h,long_short,12,0.2,0.45,6,2,4,0.1,0.4,0.2932954610136358,0.49458788919174324,0.1270226662714612,0.0802264880874285,1.0310479840161155,6.588882335069312,285,35,1326,245,0.5930097914304775,-0.20129242817810744,25.727672018739984,353.277063708388,4.394786589748094,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_return_below_validation_return_possible_validation_spike
3,az69_xsmom_4h_tonusdt_lb12_top0p2_hold12_lev3_1fea90e9,cross_sectional_momentum_rank,TONUSDT,crypto_core,4h,long_short,12,0.2,0.45,12,2,3,0.1,0.30000000000000004,0.19386028056101057,0.43712649434153583,0.16921755811473782,0.0356870651006399,0.8698742732923078,7.789942326343293,233,29,1635,263,0.4434878303430942,-0.24326621378052526,27.73394571688277,502.4442463695813,3.770950371687084,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,False,validation_trade_event_count_29_below_30;train_return_below_validation_return_possible_validation_spike
4,az69_xsmom_4h_tonusdt_lb12_top0p2_hold6_lev3_854ababf,cross_sectional_momentum_rank,TONUSDT,crypto_core,4h,long_short,12,0.2,0.45,6,2,3,0.1,0.30000000000000004,0.2195446814047517,0.35500995842159444,0.0966602874668766,0.06069173073618983,1.0310479840161157,6.588882335069308,285,35,1326,245,0.6184183744615692,-0.13546527701684274,25.677740515175632,338.1047223062804,3.5743956635218175,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_return_below_validation_return_possible_validation_spike
5,az69_xsmom_1h_tonusdt_lb48_top0p1_hold12_lev4_c3dd7d3d,cross_sectional_momentum_rank,TONUSDT,crypto_core,1h,long_short,48,0.1,0.45,12,2,4,0.1,0.4,0.0832623366331644,0.6991649165634626,0.22128460454070342,0.07502215544408575,0.4256877730115871,7.875072929913766,351,39,4428,935,0.11908826467211152,-0.6159025799302982,5.930365857062991,448.18263882273243,3.499142142616248,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_5.930_not_above_10.000
6,az69_xsmom_4h_tonusdt_lb12_top0p1_hold6_lev4_fc135014,cross_sectional_momentum_rank,TONUSDT,crypto_core,4h,long_short,12,0.1,0.45,6,2,4,0.1,0.4,0.20265769096780217,0.35937947748405863,0.1666215532616696,0.08815986237042106,0.9130967801241655,5.2014185200060385,221,33,1055,219,0.5639100273242277,-0.15672178651625646,22.925078163778526,272.2571799121656,3.344927403403805,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_return_below_validation_return_possible_validation_spike
7,az69_xsmom_1h_tonusdt_lb48_top0p2_hold12_lev4_e30a9f1a,cross_sectional_momentum_rank,TONUSDT,crypto_core,1h,long_short,48,0.2,0.45,12,2,4,0.1,0.4,0.021429340777133987,0.7607498471316254,0.2342692774076066,0.07502215544408564,0.1844905127806006,8.264916034641466,469,47,5487,1049,0.02816870862075411,-0.7393205063544914,1.1422889540050098,404.6541740061837,3.242081820397724,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_return_below_validation_return_possible_validation_spike;train_return_per_turnover_proxy_bps_1.142_not_above_10.000
8,az69_pullback_4h_ethusdt_slow72_z-0p5_hold6_lev4_9597e7a1,trend_pullback_reclaim,ETHUSDT,crypto_core,4h,long_short,72,-0.5,0.0,6,2,4,0.1,0.4,0.22497081854188794,0.14314379238953734,0.19249799556517,0.04341848716759733,0.9045601597669828,5.218157846287058,55,9,1089,224,1.5716421563687137,0.0818270261523506,102.25946297358543,397.6216455264926,3.13063652347466,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_55_below_80;validation_trade_event_count_9_below_30
9,az69_pullback_4h_ethusdt_slow72_z-0p5_hold6_lev4_9597e7a1,trend_pullback_reclaim,ETHUSDT,crypto_core,4h,long_short,72,-0.5,0.0,6,2,4,0.1,0.4,0.22673040499081165,0.14314379238953734,0.1879449574249713,0.04341848716759733,0.9346837351677212,5.218157846287058,59,9,1139,224,1.58393459615636,0.08358661260127431,96.0722055045812,397.6216455264926,3.0979049026795034,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_59_below_80;validation_trade_event_count_9_below_30
10,az69_pullback_4h_ethusdt_slow72_z-1p0_hold6_lev4_73407855,trend_pullback_reclaim,ETHUSDT,crypto_core,4h,long_short,72,-1.0,0.0,6,2,4,0.1,0.4,0.22495841739495614,0.12477634635672064,0.12753655330601843,0.019075820616664907,1.1549354554554356,6.544239436981039,26,1,580,97,1.802893128091978,0.10018207103823551,216.3061705720732,3119.4086589180156,3.053516452366631,False,True,False,False,no_promotion_shadow_or_reject,False,False,False,False,train_trade_event_count_26_below_80;validation_trade_event_count_1_below_30
