dimension,key,weight_sum,weighted_notional_fraction,train_simple_pnl_contribution,validation_simple_pnl_contribution,candidate_count
asset_group,crypto_core,1.0,0.32501398462185427,0.18466906226860635,0.17133552401365768,20
family,cross_sectional_momentum_rank,0.4248162560102199,0.16992650240408794,0.09294422604117075,0.13508102174265615,8
family,volatility_adjusted_trend_persistence,0.3813550779221021,0.11478533900304622,0.08382009374480578,0.0274795671740705,6
family,trend_pullback_reclaim,0.193828666067678,0.0403021432147201,0.007904742482629849,0.00877493509693104,6
rule_side,long_short,1.0,0.32501398462185427,0.18466906226860635,0.17133552401365768,20
symbol,TONUSDT,0.2695767704664833,0.10783070818659332,0.07422240340935075,0.12223593547719912,2
symbol,SOLUSDT,0.19843162527217784,0.0667636329585952,0.05519475290814911,0.015117673915623662,2
symbol,BNBUSDT,0.1263333853799318,0.05053335415197272,0.012717798787474456,0.011005928042574858,2
symbol,ETHUSDT,0.09909786926486192,0.03963914770594477,0.03357243146813316,0.010951248692042188,2
symbol,XRPUSDT,0.08253590875929145,0.025507512919823318,0.009255085271975367,0.004190954891530639,2
symbol,DOGEUSDT,0.09441318192456712,0.012225435472758554,-0.001154249744783131,0.003654621632136373,2
symbol,AVAXUSDT,0.021609452903308627,0.00864378116132345,0.005196360239929304,0.0010402213550038347,2
symbol,TRXUSDT,0.08382558338506237,0.008382558338506237,-0.004947090631476482,0.0014106445664046497,2
symbol,BTCUSDT,0.007296647260496133,0.0029186589041984533,0.0008076636044162378,0.0007989368678783332,2
symbol,ADAUSDT,0.01687957538381947,0.002569194822138228,-0.00019609304456238714,0.0009293585732640288,2
timeframe,4h,0.8034679220347456,0.25809063935103527,0.1639554210912109,0.15750745217356668,15
timeframe,1h,0.19653207796525451,0.06692334527081899,0.020713641177395468,0.013828071840091008,5
