hybrid_weight_rank,model_id,weight,symbol,asset_group,family,timeframe,side,integer_leverage,notional_fraction,weighted_notional_fraction,train_return,validation_return,validation_mdd
1,az69_voladj_30m_mstrusdt_lb12_th1p25_hold12_lev3_2f7e3a20,0.05662324558708379,MSTRUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_short,3,0.30000000000000004,0.016986973676125137,-0.00013045075720574673,0.08495244981631567,0.04097611691306802
2,az69_xsmom_4h_tonusdt_lb12_top0p2_hold6_lev4_96e0f9cc,0.056263954625001195,TONUSDT,crypto_core,cross_sectional_momentum_rank,4h,long_short,4,0.4,0.02250558185000048,0.30900521640727296,0.3903345842303876,0.0627883304191853
3,az69_voladj_1h_xagusdt_lb12_th0p75_hold12_lev2_3ee86239,0.05499691999314168,XAGUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,1h,long_short,2,0.2,0.010999383998628336,0.07275920784397583,0.008392710181171825,0.023355602171464818
4,az69_xsmom_2h_tonusdt_lb24_top0p1_hold12_lev4_db426895,0.049906701362851275,TONUSDT,crypto_core,cross_sectional_momentum_rank,2h,long_short,4,0.4,0.019962680545140513,0.23197529118849114,0.5053302784431917,0.053969792824303586
5,az69_voladj_30m_ewyusdt_lb12_th0p75_hold12_lev3_c60650f1,0.04845323934085495,EWYUSDT,tradfi_etf_index,volatility_adjusted_trend_persistence,30m,long_short,3,0.30000000000000004,0.014535971802256487,-0.01759255214295974,0.12590701415689476,0.029250792145143256
6,az69_pullback_2h_solusdt_slow36_z-1p0_hold12_lev2_33a0fd1a,0.04573143612636063,SOLUSDT,crypto_core,trend_pullback_reclaim,2h,long_short,2,0.2,0.009146287225272127,-0.03520892079946736,0.017518349315088333,0.010517358646026098
7,az69_voladj_30m_avaxusdt_lb12_th1p25_hold12_lev3_73cd41bb,0.043451271480530455,AVAXUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,long_short,3,0.30000000000000004,0.013035381444159139,0.509438711462328,0.06145981091988628,0.06096312495372014
8,az69_voladj_30m_avaxusdt_lb12_th1p25_hold12_lev4_ed1a644c,0.041514515973758465,AVAXUSDT,crypto_core,volatility_adjusted_trend_persistence,30m,long_short,4,0.4,0.016605806389503385,0.7074069265841851,0.08208753705690564,0.08063799630049884
9,az69_pullback_4h_dogeusdt_slow36_z-0p5_hold12_lev1_5e106bc7,0.04050630504397356,DOGEUSDT,crypto_core,trend_pullback_reclaim,4h,long_short,1,0.1,0.004050630504397356,-0.017465963942347562,0.013121484879454526,0.010183845415599024
10,az69_voladj_4h_ethusdt_lb48_th0p75_hold12_lev3_a4a364d0,0.038893901763235816,ETHUSDT,crypto_core,volatility_adjusted_trend_persistence,4h,long_short,3,0.30000000000000004,0.011668170528970746,0.22810172679646779,0.023482975460207056,0.033186890725680374
11,az69_voladj_30m_hoodusdt_lb48_th0p75_hold12_lev4_c204354a,0.03812631714938386,HOODUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_short,4,0.4,0.015250526859753545,0.08993057581472752,0.09369311838253958,0.09897329540781119
12,az69_voladj_1h_coinusdt_lb12_th1p25_hold6_lev1_0069df80,0.03789910704558405,COINUSDT,tradfi_equity,volatility_adjusted_trend_persistence,1h,long_short,1,0.1,0.003789910704558405,0.011510007433565894,0.007114961403145825,0.016558915158702336
13,az69_pullback_1h_btcusdt_slow72_z-1p0_hold12_lev1_802f641e,0.03746131963546119,BTCUSDT,crypto_core,trend_pullback_reclaim,1h,long_short,1,0.1,0.0037461319635461194,-0.013478204103502867,0.00674853670279707,0.004013332487867283
14,az69_xsmom_1h_pltrusdt_lb24_top0p1_hold12_lev3_f0336d2b,0.037115324427186715,PLTRUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_short,3,0.30000000000000004,0.011134597328156016,-0.00316116115321452,0.07100290098063478,0.028093995081438283
15,az69_xsmom_1h_pltrusdt_lb24_top0p1_hold12_lev4_a413257e,0.036093796723055356,PLTRUSDT,tradfi_equity,cross_sectional_momentum_rank,1h,long_short,4,0.4,0.014437518689222143,-0.004507347563974973,0.09535837128712621,0.037310479195373225
16,az69_voladj_30m_ewyusdt_lb12_th0p75_hold12_lev4_566d60de,0.0302690840904728,EWYUSDT,tradfi_etf_index,volatility_adjusted_trend_persistence,30m,long_short,4,0.4,0.012107633636189122,-0.02386984654343438,0.17039133135361584,0.03887862514602247
17,az69_pullback_2h_trxusdt_slow72_z-0p5_hold12_lev4_45da8d57,0.025010165379029656,TRXUSDT,crypto_core,trend_pullback_reclaim,2h,long_short,4,0.4,0.010004066151611863,0.03183084645616563,0.02864330281972749,0.010122698839413857
18,az69_xsmom_1h_bnbusdt_lb48_top0p1_hold6_lev2_682d0e1b,0.0194272587497319,BNBUSDT,crypto_core,cross_sectional_momentum_rank,1h,long_short,2,0.2,0.0038854517499463804,-0.04251223697940709,0.01361603124587174,0.006150260555374487
19,az69_voladj_1h_xagusdt_lb12_th0p75_hold12_lev1_b72da8bf,0.018499283410528655,XAGUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,1h,long_short,1,0.1,0.0018499283410528655,0.03645896513695179,0.004323009409546996,0.0117318662124134
20,az69_voladj_30m_copperusdt_lb24_th1p25_hold6_lev1_09c2ff68,0.017558412957278422,COPPERUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,30m,long_short,1,0.1,0.0017558412957278423,-0.0040895385485926194,0.0025353270292143293,0.00936370333787273
21,az69_voladj_30m_mstrusdt_lb12_th1p25_hold12_lev4_27bc66ac,0.017074346568649774,MSTRUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_short,4,0.4,0.00682973862745991,-0.0008971278024073603,0.1136808236729463,0.054457959079745044
22,az69_voladj_30m_hoodusdt_lb48_th0p75_hold12_lev3_d0151a23,0.017023769974289678,HOODUSDT,tradfi_equity,volatility_adjusted_trend_persistence,30m,long_short,3,0.30000000000000004,0.005107130992286904,0.06774379628890581,0.07026338152771694,0.07507605131142114
23,az69_voladj_4h_ethusdt_lb48_th0p75_hold12_lev4_b628c39d,0.015476729831881114,ETHUSDT,crypto_core,volatility_adjusted_trend_persistence,4h,long_short,4,0.4,0.006190691932752446,0.3035506125794729,0.030964880628891134,0.04407015645890355
24,az69_voladj_30m_xptusdt_lb12_th1p25_hold6_lev1_3241b101,0.015068915438957919,XPTUSDT,tradfi_commodity,volatility_adjusted_trend_persistence,30m,long_short,1,0.1,0.001506891543895792,-0.04211688786369017,0.00011260151078351655,0.008070170998855764
25,az69_pullback_4h_dogeusdt_slow36_z-0p5_hold6_lev1_b2b9eb79,0.013022743784840906,DOGEUSDT,crypto_core,trend_pullback_reclaim,4h,long_short,1,0.1,0.0013022743784840906,-0.005343721830467607,0.01077552867346765,0.01030300847981691
26,az69_xsmom_1h_bnbusdt_lb48_top0p1_hold6_lev1_57d7e4ff,0.012663924483508067,BNBUSDT,crypto_core,cross_sectional_momentum_rank,1h,long_short,1,0.1,0.0012663924483508069,-0.02111868241238113,0.006800949559822023,0.003078049539287364
