rank,model_id,family,symbol,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,cooldown_bars,filter_label,feature_backed,feature_train_coverage,feature_validation_coverage,feature_locked_oos_coverage,max_asof_feature_age_hours,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,primary_10bps_promotion_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,replay_live_notional_parity,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons,asset_group,universe_role,cross_asset_inputs,asset_diverse_train_validation_score,validation_first_half_return,validation_second_half_return,validation_min_half_return
1,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx12p0_trail2p0_hold18_4p0x_0p125_b92ab84a,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top1_breadth_adx_trail2.0,False,,,,,4.0,0.125,0.5,0.36438565013948354,0.3209853666187028,0.0,0.31954472282178725,0.06535494172808376,0.0,1.0606980563685233,4.865443052210337,0.0,517,98,0,5334,1029,0,1.13520953923216,0.043400283520780736,14.096156678510003,65.50721767728629,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.1850766784133633,0.27729965095319487,0.034201618729722494,0.034201618729722494
2,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx12p0_trail2p0_hold18_5p0x_0p1_f3cb3ff1,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top1_breadth_adx_trail2.0,False,,,,,5.0,0.1,0.5,0.36438565013948354,0.3209853666187028,0.0,0.31954472282178725,0.06535494172808376,0.0,1.0606980563685233,4.865443052210337,0.0,517,98,0,5334,1029,0,1.13520953923216,0.043400283520780736,14.096156678510003,65.50721767728629,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.1850766784133633,0.27729965095319487,0.034201618729722494,0.034201618729722494
3,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx12p0_trail2p0_hold18_4p0x_0p125_1c5bcb4d,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top2_breadth_adx_trail2.0,False,,,,,4.0,0.125,0.5,0.36438565013948354,0.3209853666187028,0.0,0.31954472282178725,0.06535494172808376,0.0,1.0606980563685233,4.865443052210337,0.0,517,98,0,5334,1029,0,1.13520953923216,0.043400283520780736,14.096156678510003,65.50721767728629,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.1850766784133633,0.27729965095319487,0.034201618729722494,0.034201618729722494
4,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx12p0_trail2p0_hold18_5p0x_0p1_a0fec8c3,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top2_breadth_adx_trail2.0,False,,,,,5.0,0.1,0.5,0.36438565013948354,0.3209853666187028,0.0,0.31954472282178725,0.06535494172808376,0.0,1.0606980563685233,4.865443052210337,0.0,517,98,0,5334,1029,0,1.13520953923216,0.043400283520780736,14.096156678510003,65.50721767728629,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.1850766784133633,0.27729965095319487,0.034201618729722494,0.034201618729722494
5,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx12p0_trail3p0_hold18_4p0x_0p125_7c8ca568,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top1_breadth_adx_trail3.0,False,,,,,4.0,0.125,0.5,0.41104035069351585,0.3155578824105272,0.0,0.29974380387537625,0.06535494172808332,0.0,1.1551361748985156,4.792105676753605,0.0,517,98,0,5354,1035,0,1.3025830556144058,0.09548246828298868,15.900980684468697,64.3995678388831,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.1325656821157217,0.2764471690320194,0.030640291527434638,0.030640291527434638
6,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx12p0_trail3p0_hold18_5p0x_0p1_e0450ce3,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top1_breadth_adx_trail3.0,False,,,,,5.0,0.1,0.5,0.41104035069351585,0.3155578824105272,0.0,0.29974380387537625,0.06535494172808332,0.0,1.1551361748985156,4.792105676753605,0.0,517,98,0,5354,1035,0,1.3025830556144058,0.09548246828298868,15.900980684468697,64.3995678388831,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.1325656821157217,0.2764471690320194,0.030640291527434638,0.030640291527434638
7,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx12p0_trail3p0_hold18_4p0x_0p125_4d4ca989,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top2_breadth_adx_trail3.0,False,,,,,4.0,0.125,0.5,0.41104035069351585,0.3155578824105272,0.0,0.29974380387537625,0.06535494172808332,0.0,1.1551361748985156,4.792105676753605,0.0,517,98,0,5354,1035,0,1.3025830556144058,0.09548246828298868,15.900980684468697,64.3995678388831,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.1325656821157217,0.2764471690320194,0.030640291527434638,0.030640291527434638
8,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx12p0_trail3p0_hold18_5p0x_0p1_ad4fad7e,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top2_breadth_adx_trail3.0,False,,,,,5.0,0.1,0.5,0.41104035069351585,0.3155578824105272,0.0,0.29974380387537625,0.06535494172808332,0.0,1.1551361748985156,4.792105676753605,0.0,517,98,0,5354,1035,0,1.3025830556144058,0.09548246828298868,15.900980684468697,64.3995678388831,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.1325656821157217,0.2764471690320194,0.030640291527434638,0.030640291527434638
9,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx18p0_trail2p0_hold18_4p0x_0p125_0b7b39a2,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top1_breadth_adx_trail2.0,False,,,,,4.0,0.125,0.5,0.3680705703685263,0.30646681550965527,0.0,0.32485757209474075,0.06535494172808343,0.0,1.0689773793693873,4.715342090674058,0.0,515,98,0,5324,1026,0,1.2010128070682753,0.06160375485887104,14.294002732758303,62.544248063194956,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.0387097224939223,0.26326123634804244,0.034201618729722494,0.034201618729722494
10,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx18p0_trail2p0_hold18_5p0x_0p1_86335e6e,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,long_short,12,0.005,0.0,18,2,top1_breadth_adx_trail2.0,False,,,,,5.0,0.1,0.5,0.3680705703685263,0.30646681550965527,0.0,0.32485757209474075,0.06535494172808343,0.0,1.0689773793693873,4.715342090674058,0.0,515,98,0,5324,1026,0,1.2010128070682753,0.06160375485887104,14.294002732758303,62.544248063194956,,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.5, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.5, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.0387097224939223,0.26326123634804244,0.034201618729722494,0.034201618729722494
