decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons,asset_group,universe_role,cross_asset_inputs,asset_diverse_train_validation_score,validation_first_half_return,validation_second_half_return,validation_min_half_return
1,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx12p0_trail2p0_hold18_4p0x_0p125_b92ab84a,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.36438565013948354,0.3209853666187028,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.1850766784133633,0.27729965095319487,0.034201618729722494,0.034201618729722494
2,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx12p0_trail2p0_hold18_5p0x_0p1_f3cb3ff1,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.36438565013948354,0.3209853666187028,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.1850766784133633,0.27729965095319487,0.034201618729722494,0.034201618729722494
3,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx12p0_trail2p0_hold18_4p0x_0p125_1c5bcb4d,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.36438565013948354,0.3209853666187028,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.1850766784133633,0.27729965095319487,0.034201618729722494,0.034201618729722494
4,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx12p0_trail2p0_hold18_5p0x_0p1_a0fec8c3,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.36438565013948354,0.3209853666187028,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.1850766784133633,0.27729965095319487,0.034201618729722494,0.034201618729722494
5,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx12p0_trail3p0_hold18_4p0x_0p125_7c8ca568,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.41104035069351585,0.3155578824105272,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.1325656821157217,0.2764471690320194,0.030640291527434638,0.030640291527434638
6,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx12p0_trail3p0_hold18_5p0x_0p1_e0450ce3,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.41104035069351585,0.3155578824105272,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.1325656821157217,0.2764471690320194,0.030640291527434638,0.030640291527434638
7,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx12p0_trail3p0_hold18_4p0x_0p125_4d4ca989,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.41104035069351585,0.3155578824105272,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.1325656821157217,0.2764471690320194,0.030640291527434638,0.030640291527434638
8,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx12p0_trail3p0_hold18_5p0x_0p1_ad4fad7e,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.41104035069351585,0.3155578824105272,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.1325656821157217,0.2764471690320194,0.030640291527434638,0.030640291527434638
9,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx18p0_trail2p0_hold18_4p0x_0p125_0b7b39a2,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.3680705703685263,0.30646681550965527,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.0387097224939223,0.26326123634804244,0.034201618729722494,0.034201618729722494
10,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx18p0_trail2p0_hold18_5p0x_0p1_86335e6e,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.3680705703685263,0.30646681550965527,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",3.0387097224939223,0.26326123634804244,0.034201618729722494,0.034201618729722494
11,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx18p0_trail2p0_hold18_4p0x_0p125_c90a7b95,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.3680705703685263,0.30646681550965527,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.0387097224939223,0.26326123634804244,0.034201618729722494,0.034201618729722494
12,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top2_mom0p005_breadth0p4_adx18p0_trail2p0_hold18_5p0x_0p1_87208954,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.3680705703685263,0.30646681550965527,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 2}",3.0387097224939223,0.26326123634804244,0.034201618729722494,0.034201618729722494
13,a30fb_asset_diverse_rank_chandelier_1h_xrpusdt_lb12_top1_mom0p005_breadth0p4_adx18p0_trail3p0_hold18_4p0x_0p125_c8a3f6bd,no_promotion_shadow_or_reject,cross_asset_rank_chandelier_breakout,XRPUSDT,1h,0.43280165649406666,0.3010989831408253,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000;shadow_universe_not_promotion_eligible,crypto_payment_alt,shadow_probe_only,"{""breadth_threshold"": 0.4, ""market_momentum_floor"": -0.02, ""panel_symbols"": [""BTCUSDT"", ""ETHUSDT"", ""SOLUSDT"", ""BNBUSDT"", ""TRXUSDT""], ""rank_top_n"": 1}",2.9895301659191538,0.26241812379813356,0.030640291527434638,0.030640291527434638
