rank,model_id,family,symbol,timeframe,side,lookback_bars,entry_threshold,exit_threshold,min_hold_bars,cooldown_bars,vol_filter_mode,vol_quantile_max,adx_threshold,trend_strength_threshold,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,primary_10bps_promotion_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,replay_live_notional_parity,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons
1,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p02_x0p005_hold48_cool0_none_3p0x_0p15_852b9c04,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,long_short,12,0.02,0.005,48,0,none,,0.0,0.0,3.0,0.15,0.44999999999999996,0.7852823829149143,0.33602286131872305,-0.030944365243869565,0.2072924307032562,0.09406289445782923,0.07875883939453932,1.7430401297065288,3.966548071457592,-1.2393761140471982,298,69,31,7631,1806,767,2.3369909411314174,0.4492595215961912,58.55946181319271,108.21992313002355,-22.18234067660901,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-22.182_not_above_10.000
2,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p025_x0p0_hold36_cool0_none_3p0x_0p15_add89ccd,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,long_short,12,0.025,0.0,36,0,none,,0.0,0.0,3.0,0.15,0.44999999999999996,0.48280992322360716,0.29645251164621866,-0.08109044617961292,0.26650692746077664,0.07239087528807608,0.10376745492308559,1.2823608703196159,3.815793008857278,-3.774675314288524,330,79,37,6835,1578,682,1.628624836209127,0.1863574115773885,32.51245274233045,83.39029863466068,-48.702970678446206,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-48.703_not_above_10.000
3,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb6_e0p03_x-0p005_hold36_cool0_none_3p0x_0p15_55d08563,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,long_short,6,0.03,-0.005,36,0,none,,0.0,0.0,3.0,0.15,0.44999999999999996,0.3091701043515407,0.2855992371615985,-0.015297427713579115,0.22212239595288075,0.05287123661523485,0.04413488104654051,0.9700762406189477,4.001646896134879,-0.8495695494281252,272,65,19,5533,1354,364,1.0825312680250796,0.02357086718994217,25.258995453557247,97.64076484157215,-17.891728319975574,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_trade_event_count_19_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-17.892_not_above_10.000
4,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p02_x0p005_hold48_cool0_none_4p0x_0p1_15347fae,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,long_short,12,0.02,0.005,48,0,none,,0.0,0.0,4.0,0.1,0.4,0.6854140435399003,0.2952022563567116,-0.027344122302963347,0.18625728253089202,0.08393290039385404,0.07019569104802703,1.743040129706529,3.966548071457593,-1.2393761140471988,298,69,31,7631,1806,767,2.3218455441332098,0.3902117871831887,57.501178149320495,106.95733925967811,-22.05171153464786,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.4, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.4, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-22.052_not_above_10.000
5,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb6_e0p02_x0p005_hold48_cool6_none_3p0x_0p15_1ab3a5ef,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,long_short,6,0.02,0.005,48,6,none,,0.0,0.0,3.0,0.15,0.44999999999999996,0.5735667877796538,0.2788254630294422,-0.07913264824231314,0.19799020438818882,0.0824066561659289,0.11399293501392105,1.4577620949776156,3.563018856145988,-3.4989663755579525,274,65,31,6811,1640,715,2.05708180862624,0.29474132475021153,46.51798765447314,95.32494462545036,-56.72591271850405,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-56.726_not_above_10.000
6,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb6_e0p02_x0p005_hold48_cool6_adx20_3p0x_0p15_39042791,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,long_short,6,0.02,0.005,48,6,adx20,,20.0,0.0,3.0,0.15,0.44999999999999996,0.6065612636422733,0.2781002997388118,-0.07913264824231314,0.19799020438818582,0.08292698128293241,0.11399293501392105,1.516710612460104,3.555152299545969,-3.4989663755579525,274,65,31,6802,1639,715,2.1810881333531382,0.32846096390346147,49.19393865711868,95.07702555173053,-56.72591271850405,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-56.726_not_above_10.000
7,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p03_x-0p005_hold18_cool0_adx20_3p0x_0p15_c4348f34,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,long_short,6,0.03,-0.005,18,0,adx20,,20.0,0.0,3.0,0.15,0.44999999999999996,0.38824964772302506,0.2709439284568198,-0.09888265344261904,0.1348661282306921,0.06488778133734263,0.11141326115382122,1.3359269375678666,3.9190164070307145,-6.92129962737496,240,61,22,2670,696,218,1.4329520131132971,0.11730571926620526,35.949041455835655,98.70452767097262,-99.88146812385763,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-99.881_not_above_10.000
8,debrepair_debounced_efficiency_repair_2h_solusdt_long_short_lb6_e0p02_x0p005_hold18_cool0_trend_strength2_3p0x_0p15_a11dc409,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,2h,long_short,6,0.02,0.005,18,0,trend_strength2,,0.0,2.0,3.0,0.15,0.44999999999999996,0.4965432556685623,0.2751941496545067,-0.044412800535522656,0.1401374026477692,0.07812716678582998,0.09001176300713087,1.5475429738698299,4.328753747596866,-2.4265531288121647,278,58,25,2533,526,235,1.8043379784488476,0.22134910601405555,39.69170708781473,105.4383715151367,-39.47804492046459,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-39.478_not_above_10.000
9,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p02_x0p005_hold36_cool6_none_3p0x_0p15_5670d97a,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,long_short,12,0.02,0.005,36,6,none,,0.0,0.0,3.0,0.15,0.44999999999999996,0.38797747074058364,0.2762194400752629,-0.11505695264024796,0.20496553421981756,0.0801667503545771,0.14118633999090102,1.1109863100099704,3.605597388519808,-5.409306621440964,338,81,35,6821,1557,658,1.404598715553364,0.11175803066532075,25.508051988204056,75.78036764753442,-73.05203342237967,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-73.052_not_above_10.000
10,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p025_x0p0_hold36_cool0_adx20_3p0x_0p15_33936e96,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,long_short,12,0.025,0.0,36,0,adx20,,20.0,0.0,3.0,0.15,0.44999999999999996,0.6748772235517706,0.2685188629096502,-0.08109044617961292,0.1840600448934303,0.06169028475405458,0.10376745492308559,1.64237224885925,3.4835396009141886,-3.774675314288524,328,77,37,6645,1534,682,2.513332643520279,0.4063583606421204,45.72338912952375,77.49462133034639,-48.702970678446206,False,False,False,False,no_promotion_shadow_or_reject,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-48.703_not_above_10.000
