decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
1,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p02_x0p005_hold48_cool0_none_3p0x_0p15_852b9c04,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.7852823829149143,0.33602286131872305,-0.030944365243869565,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-22.182_not_above_10.000
2,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p025_x0p0_hold36_cool0_none_3p0x_0p15_add89ccd,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.48280992322360716,0.29645251164621866,-0.08109044617961292,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-48.703_not_above_10.000
3,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb6_e0p03_x-0p005_hold36_cool0_none_3p0x_0p15_55d08563,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.3091701043515407,0.2855992371615985,-0.015297427713579115,False,False,False,locked_oos_trade_event_count_19_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-17.892_not_above_10.000
4,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p02_x0p005_hold48_cool0_none_4p0x_0p1_15347fae,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.6854140435399003,0.2952022563567116,-0.027344122302963347,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-22.052_not_above_10.000
5,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb6_e0p02_x0p005_hold48_cool6_none_3p0x_0p15_1ab3a5ef,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.5735667877796538,0.2788254630294422,-0.07913264824231314,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-56.726_not_above_10.000
6,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb6_e0p02_x0p005_hold48_cool6_adx20_3p0x_0p15_39042791,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.6065612636422733,0.2781002997388118,-0.07913264824231314,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-56.726_not_above_10.000
7,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p03_x-0p005_hold18_cool0_adx20_3p0x_0p15_c4348f34,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,ETHUSDT,2h,0.38824964772302506,0.2709439284568198,-0.09888265344261904,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-99.881_not_above_10.000
8,debrepair_debounced_efficiency_repair_2h_solusdt_long_short_lb6_e0p02_x0p005_hold18_cool0_trend_strength2_3p0x_0p15_a11dc409,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,2h,0.4965432556685623,0.2751941496545067,-0.044412800535522656,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-39.478_not_above_10.000
9,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p02_x0p005_hold36_cool6_none_3p0x_0p15_5670d97a,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.38797747074058364,0.2762194400752629,-0.11505695264024796,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-73.052_not_above_10.000
10,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p025_x0p0_hold36_cool0_adx20_3p0x_0p15_33936e96,no_promotion_shadow_or_reject,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,0.6748772235517706,0.2685188629096502,-0.08109044617961292,False,False,False,locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-48.703_not_above_10.000
