rank,model_id,family,symbol,timeframe,side,lookback_bars,entry_threshold,exit_threshold,min_hold_bars,cooldown_bars,vol_filter_mode,vol_quantile_max,adx_threshold,trend_strength_threshold,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,primary_10bps_promotion_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,replay_live_notional_parity,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons
167,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool12_adx20_3p0x_0p15_90b12943,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,12,adx20,,20.0,0.0,3.0,0.15,0.44999999999999996,0.2991430165092124,0.16485777337865515,0.005808398893793809,0.12527471297552406,0.07029269960787055,0.03336140403826082,1.2098730311027948,3.005315651478184,0.5194854375331397,328,80,26,3154,759,248,1.8145520855854511,0.13428524313055723,20.267142039919538,45.79382593851532,4.964443498969068,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_4.964_not_above_10.000
181,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool12_none_3p0x_0p15_101f12c1,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,12,none,,0.0,0.0,3.0,0.15,0.44999999999999996,0.3131557047966713,0.16167949621396294,0.005808398893793809,0.12425426851256238,0.0728293762307285,0.03336140403826082,1.2516736581053347,2.956198976753412,0.5194854375331397,328,80,26,3169,757,248,1.9368918887664535,0.15147620858270838,21.216511165086132,44.91097117054526,4.964443498969068,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_4.964_not_above_10.000
263,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool12_adx20_4p0x_0p1_677f1967,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,12,adx20,,20.0,0.0,4.0,0.1,0.4,0.2654935884031908,0.14590929927596008,0.005220071146497807,0.11194904620441848,0.06258191656670986,0.029682384408004636,1.2098730311027948,3.0053156514781834,0.5194854375331397,328,80,26,3154,759,248,1.8195796273482163,0.11958428912723074,20.235791799023687,45.59665602373752,5.019299179324814,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.4, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.4, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_5.019_not_above_10.000
264,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold48_cool12_none_3p0x_0p15_079c6cfd,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,12,0.02,0.005,48,12,none,,0.0,0.0,3.0,0.15,0.44999999999999996,0.2520924941698912,0.15451404369955668,0.0024747623711620648,0.24422476234524804,0.0894015743501293,0.0834344255316275,0.871605592166463,2.2628605263314956,0.20294392442757508,204,51,22,5299,1315,528,1.631518327616032,0.09757845047033453,27.461056009792074,67.32638069697458,2.4997599708707727,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_2.500_not_above_10.000
295,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool12_none_4p0x_0p1_aecb554e,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,12,none,,0.0,0.0,4.0,0.1,0.4,0.27764014580501084,0.1431283878424956,0.005220071146497807,0.111028231676505,0.0648568581068496,0.029682384408004636,1.2516736581053343,2.9561989767534116,0.5194854375331397,328,80,26,3169,757,248,1.939797897469072,0.13451175796251524,21.16159647904046,44.72762120077987,5.019299179324814,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.4, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.4, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_5.019_not_above_10.000
394,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold48_cool12_none_4p0x_0p1_5cf11d26,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,12,0.02,0.005,48,12,none,,0.0,0.0,4.0,0.1,0.4,0.22721121972740255,0.13726975516371587,0.002349597884583998,0.21956880879010054,0.07976768887073504,0.07444918561960534,0.8716055921664633,2.262860526331496,0.2029439244275749,204,51,22,5299,1315,528,1.6552169081704653,0.08994146456368668,27.84451222149541,67.28909566848817,2.6699975961181797,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.4, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.4, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_2.670_not_above_10.000
427,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool6_adx20_3p0x_0p15_32b501f4,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,6,adx20,,20.0,0.0,3.0,0.15,0.44999999999999996,0.32079909745903623,0.13116628208584147,0.007561244278023294,0.1272632083375682,0.06337651434224889,0.03273126839955798,1.1981862535628098,2.304544665855559,0.6345081234204677,360,90,30,3509,845,290,2.445743619149699,0.18963281537319476,19.8024134233973,32.38673631749173,5.600921687424663,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_5.601_not_above_10.000
463,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool6_none_3p0x_0p15_6d5baf19,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,6,none,,0.0,0.0,3.0,0.15,0.44999999999999996,0.34823111529532746,0.1280799310771712,0.007561244278023294,0.13379091976243418,0.06493534696534586,0.03273126839955798,1.2748726170691345,2.2577942651247342,0.6345081234204677,358,90,30,3508,843,290,2.7188577661359763,0.22015118421815627,21.615835834595128,31.62467434004228,5.600921687424663,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.44999999999999996, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.44999999999999996, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_5.601_not_above_10.000
595,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool6_adx20_4p0x_0p1_eec0adfe,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,6,adx20,,20.0,0.0,4.0,0.1,0.4,0.2848735142832066,0.11648904558403328,0.006783111280255216,0.11377323668233807,0.056420489640536364,0.029124544976361744,1.1981862535628096,2.3045446658555586,0.6345081234204674,360,90,30,3509,845,290,2.4454961653686444,0.16838446869917334,19.78288293633379,32.35806821778702,5.652592733546013,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.4, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.4, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_5.653_not_above_10.000
650,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold18_cool6_none_4p0x_0p1_c9ea6b7a,debounced_momentum_hysteresis_efficiency_repair,SOLUSDT,1h,short_only,6,0.02,0.005,18,6,none,,0.0,0.0,4.0,0.1,0.4,0.3085864141385761,0.11377953170351485,0.006783111280255216,0.1196672131190133,0.057621143171288525,0.029124544976361744,1.2748726170691342,2.257794265124734,0.6345081234204674,358,90,30,3508,843,290,2.7121434718389104,0.19480688243506128,21.54933059626928,31.605425473198565,5.652592733546013,True,False,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,"{""live_notional_fraction"": 0.4, ""parity"": true, ""recorded"": true, ""replay_notional_fraction"": 0.4, ""sizing_mode"": ""notional_fraction_equals_leverage_times_allocation_fraction""}",0,0,locked_oos_return_per_turnover_proxy_bps_5.653_not_above_10.000
