rank,model_id,family,symbol,timeframe,side,lookback_bars,threshold,exit_threshold,min_hold_bars,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_minus_validation_return,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,train_dominant_sample_gate_pass,execution_efficiency_proxy_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons
1,divtd_debounced_hysteresis_trend_1h_dogeusdt_long_short_lb6_e0p02_x0p005_hold12_3p0x_0p15_43bee855,debounced_momentum_hysteresis,DOGEUSDT,1h,long_short,6,0.02,0.005,12,3.0,0.15,0.44999999999999996,0.993969852453128,0.28176529635886594,0.0,0.28436224368153384,0.09218559922534142,0.0,2.101462147851255,4.833112597266285,0.0,739,122,0,5570,905,0,3.527651791394402,0.712204556094262,29.88933551204715,51.323369099975594,,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
2,divtd_debounced_hysteresis_trend_1h_dogeusdt_long_short_lb6_e0p02_x0p005_hold6_3p0x_0p15_3d3d00fd,debounced_momentum_hysteresis,DOGEUSDT,1h,long_short,6,0.02,0.005,6,3.0,0.15,0.44999999999999996,0.2705298981364872,0.28993391194567897,0.0,0.20166859475309185,0.06971966557978237,0.0,0.890177630858349,5.308518151394656,0.0,1053,157,0,4471,700,0,0.9330743558800143,-0.019404013809191767,5.7091885224540935,41.03806255423624,,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_0_below_20;train_return_0.2705_below_validation_return_0.2899;train_validation_return_ratio_0.9331_below_1.00;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_5.709_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
3,divtd_hysteresis_trend_2h_dogeusdt_long_short_lb6_e0p01_x0p0_4p0x_0p15_b7db27da,stateful_momentum_hysteresis,DOGEUSDT,2h,long_short,6,0.01,0.0,0,4.0,0.15,0.6,0.5247650540470925,0.2744747727196115,0.0,0.26800426118030385,0.107465409709538,0.0,1.0798176045099943,3.3555034412388327,0.0,840,147,0,3515,565,0,1.9118881085044706,0.250290281327481,10.412005040616915,31.119588743720126,,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
4,divtd_debounced_hysteresis_trend_1h_ethusdt_long_short_lb6_e0p02_x0p005_hold12_3p0x_0p15_5ea41145,debounced_momentum_hysteresis,ETHUSDT,1h,long_short,6,0.02,0.005,12,3.0,0.15,0.44999999999999996,0.2509158359635968,0.2354729172278791,0.013121779823674018,0.1788205870371572,0.04625339233583026,0.03216301103714814,0.9997389361610323,3.6540601512975766,0.8346040982264746,596,147,55,4319,1023,366,1.0655825685497955,0.015442918735717681,9.355549439358567,35.59681288403313,5.301729221686473,True,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,0,0,train_return_per_turnover_proxy_bps_9.356_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_5.302_not_above_10.000
5,divtd_debounced_hysteresis_trend_1h_dogeusdt_long_short_lb6_e0p02_x0p005_hold12_4p0x_0p1_995bc9d9,debounced_momentum_hysteresis,DOGEUSDT,1h,long_short,6,0.02,0.005,12,4.0,0.1,0.4,0.8585049362005268,0.24785748337012548,0.0,0.25697585826300473,0.08212855240116124,0.0,2.1014621478512545,4.833112597266285,0.0,739,122,0,5570,905,0,3.4637039177813396,0.6106474528304013,29.042792158339875,50.79046790371423,,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
6,divtd_debounced_hysteresis_trend_1h_dogeusdt_long_short_lb6_e0p02_x0p005_hold6_4p0x_0p1_823bde9e,debounced_momentum_hysteresis,DOGEUSDT,1h,long_short,6,0.02,0.005,6,4.0,0.1,0.4,0.24380299661161264,0.2547909707188385,0.0,0.18080187363135614,0.062165263783561686,0.0,0.890177630858349,5.308518151394656,0.0,1053,157,0,4471,700,0,0.9568745545565228,-0.01098797410722585,5.788295266182637,40.571810624018866,,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_0_below_20;train_return_0.2438_below_validation_return_0.2548;train_validation_return_ratio_0.9569_below_1.00;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_5.788_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
7,divtd_debounced_hysteresis_trend_1h_xrpusdt_long_short_lb6_e0p02_x0p005_hold24_3p0x_0p15_27e28a40,debounced_momentum_hysteresis,XRPUSDT,1h,long_short,6,0.02,0.005,24,3.0,0.15,0.44999999999999996,0.31135697396444817,0.24053153689933104,0.0,0.25668842747895426,0.07898948958585716,0.0,0.974311255667846,4.02118157150122,0.0,426,81,0,5756,1158,0,1.294453849911413,0.07082543706511713,16.24188700910006,65.98944770900715,,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
8,divtd_debounced_hysteresis_trend_2h_dogeusdt_short_only_lb6_e0p02_x0p005_hold24_3p0x_0p15_7f0a0492,debounced_momentum_hysteresis,DOGEUSDT,2h,short_only,6,0.02,0.005,24,3.0,0.15,0.44999999999999996,0.5074674872881102,0.22668593348775112,0.0,0.20142930676072202,0.052620863610041035,0.0,1.3781217338818499,4.4605425527960145,0.0,209,37,0,2770,458,0,2.238636864141952,0.2807815538003591,53.95720226348859,136.14770780045114,,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
9,divtd_debounced_hysteresis_trend_1h_ethusdt_long_short_lb6_e0p02_x0p005_hold12_4p0x_0p1_ad1d7a5e,debounced_momentum_hysteresis,ETHUSDT,1h,long_short,6,0.02,0.005,12,4.0,0.1,0.4,0.22414152038527901,0.2076519842468023,0.011767647182372665,0.16019098029253453,0.041185611408282474,0.028603864639553445,0.9997389361610326,3.6540601512975766,0.8346040982264743,596,147,55,4319,1023,366,1.079409480233419,0.0164895361384767,9.401909412134186,35.3149633072793,5.34893053744212,True,False,False,train_dominant_shadow_until_execution_efficiency,False,False,False,0,0,train_return_per_turnover_proxy_bps_9.402_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_5.349_not_above_10.000
10,divtd_debounced_hysteresis_trend_1h_solusdt_long_short_lb6_e0p02_x0p005_hold12_3p0x_0p15_b2ab0da6,debounced_momentum_hysteresis,SOLUSDT,1h,long_short,6,0.02,0.005,12,3.0,0.15,0.44999999999999996,0.28041686459635407,0.21591740972029294,-0.06213579599742003,0.27538480777361407,0.06428833997482886,0.07278094232840171,0.9204666973824077,3.1210059603183713,-3.458583134030848,701,156,63,5230,1131,399,1.2987228077606896,0.06449945487606112,8.88942350915689,30.757465772121506,-21.91738835887832,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_8.889_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-21.917_not_above_10.000
