decision_rank,model_id,decision,family,symbol,timeframe,train_return,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
1,divtd_debounced_hysteresis_trend_1h_dogeusdt_long_short_lb6_e0p02_x0p005_hold12_3p0x_0p15_43bee855,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,DOGEUSDT,1h,0.993969852453128,0.28176529635886594,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
2,divtd_debounced_hysteresis_trend_1h_dogeusdt_long_short_lb6_e0p02_x0p005_hold6_3p0x_0p15_3d3d00fd,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,DOGEUSDT,1h,0.2705298981364872,0.28993391194567897,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;train_return_0.2705_below_validation_return_0.2899;train_validation_return_ratio_0.9331_below_1.00;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_5.709_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
3,divtd_hysteresis_trend_2h_dogeusdt_long_short_lb6_e0p01_x0p0_4p0x_0p15_b7db27da,no_promotion_shadow_or_reject,stateful_momentum_hysteresis,DOGEUSDT,2h,0.5247650540470925,0.2744747727196115,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
4,divtd_debounced_hysteresis_trend_1h_ethusdt_long_short_lb6_e0p02_x0p005_hold12_3p0x_0p15_5ea41145,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis,ETHUSDT,1h,0.2509158359635968,0.2354729172278791,0.013121779823674018,False,False,False,train_return_per_turnover_proxy_bps_9.356_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_5.302_not_above_10.000
5,divtd_debounced_hysteresis_trend_1h_dogeusdt_long_short_lb6_e0p02_x0p005_hold12_4p0x_0p1_995bc9d9,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,DOGEUSDT,1h,0.8585049362005268,0.24785748337012548,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
6,divtd_debounced_hysteresis_trend_1h_dogeusdt_long_short_lb6_e0p02_x0p005_hold6_4p0x_0p1_823bde9e,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,DOGEUSDT,1h,0.24380299661161264,0.2547909707188385,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;train_return_0.2438_below_validation_return_0.2548;train_validation_return_ratio_0.9569_below_1.00;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_5.788_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
7,divtd_debounced_hysteresis_trend_1h_xrpusdt_long_short_lb6_e0p02_x0p005_hold24_3p0x_0p15_27e28a40,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,XRPUSDT,1h,0.31135697396444817,0.24053153689933104,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
8,divtd_debounced_hysteresis_trend_2h_dogeusdt_short_only_lb6_e0p02_x0p005_hold24_3p0x_0p15_7f0a0492,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,DOGEUSDT,2h,0.5074674872881102,0.22668593348775112,0.0,False,False,False,locked_oos_trade_event_count_0_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_missing_not_above_10.000
9,divtd_debounced_hysteresis_trend_1h_ethusdt_long_short_lb6_e0p02_x0p005_hold12_4p0x_0p1_ad1d7a5e,train_dominant_shadow_until_execution_efficiency,debounced_momentum_hysteresis,ETHUSDT,1h,0.22414152038527901,0.2076519842468023,0.011767647182372665,False,False,False,train_return_per_turnover_proxy_bps_9.402_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_5.349_not_above_10.000
10,divtd_debounced_hysteresis_trend_1h_solusdt_long_short_lb6_e0p02_x0p005_hold12_3p0x_0p15_b2ab0da6,no_promotion_shadow_or_reject,debounced_momentum_hysteresis,SOLUSDT,1h,0.28041686459635407,0.21591740972029294,-0.06213579599742003,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_8.889_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-21.917_not_above_10.000
