rank,model_id,family,symbol,timeframe,side,lookback_bars,threshold,leverage,allocation_fraction,notional_fraction,train_return,validation_return,locked_oos_return,train_mdd,validation_mdd,locked_oos_mdd,train_sharpe,validation_sharpe,locked_oos_sharpe,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_exposure_bar_count,validation_exposure_bar_count,locked_oos_exposure_bar_count,train_validation_return_ratio,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,backtest_sample_gate_pass,execution_efficiency_proxy_gate_pass,paper_candidate_gate_pass,decision,ready_for_paper,ready_for_real,real_money_execution,locked_oos_liquidation_count,locked_oos_account_wipeout_count,rejection_reasons
1,htf_trend_4h_trxusdt_lb48_th0p005_5p0x_0p15_3a7d84a7,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.005,5.0,0.15,0.75,-0.0843272385261915,0.15026180067313355,0.04497061776098321,0.20487436342073695,0.026585506512890156,0.019887237965554916,-0.4730674106367605,5.346202202831785,3.2023058506776314,234,43,34,691,190,143,-0.5612021029192219,-4.804970856193248,46.59280641027397,17.635536376856162,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.5612_below_0.50;train_return_per_turnover_proxy_bps_-4.805_not_above_10.000
2,htf_trend_4h_trxusdt_lb48_th0p01_5p0x_0p15_aef61c2e,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.01,5.0,0.15,0.75,-0.09440854979607838,0.12794697224765805,0.03258952122499714,0.20089145198778857,0.03015987121505248,0.024429431149778025,-0.5516769225022673,4.6448222451604435,2.403248637941867,216,43,36,647,177,133,-0.7378724805878041,-5.827688259017184,39.67347976671567,12.07019304629524,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.7379_below_0.50;train_return_per_turnover_proxy_bps_-5.828_not_above_10.000
3,htf_trend_4h_trxusdt_lb48_th0p005_4p0x_0p15_f6ce2c65,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.005,4.0,0.15,0.6,-0.06614159495469152,0.11876042572341139,0.03594408924120973,0.1663350683302669,0.021306013873593543,0.01591769724519332,-0.4730674106367603,5.346202202831783,3.202305850677632,234,43,34,691,190,143,-0.556932956006177,-4.710939811587715,46.031172761012165,17.6196515888283,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.5569_below_0.50;train_return_per_turnover_proxy_bps_-4.711_not_above_10.000
4,htf_trend_4h_trxusdt_lb48_th0p02_5p0x_0p15_f6f8a7f3,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.02,5.0,0.15,0.75,-0.002424821033369051,0.10283489537197354,0.022986881057853736,0.09916765504291081,0.029032458686498508,0.023968579918234645,0.051947847766783135,4.035687131410974,1.8083078507744996,186,39,26,534,142,95,-0.023579749117242824,-0.1738222962988567,35.1572291869995,11.788144132232686,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.0236_below_0.50;train_return_per_turnover_proxy_bps_-0.174_not_above_10.000
5,htf_trend_6h_trxusdt_lb24_th0p005_5p0x_0p15_1a827f30,htf_trend_persistence,TRXUSDT,6h,long_only,24,0.005,5.0,0.15,0.75,-0.10287562872708356,0.10618336752914992,0.05275205115398762,0.14459284097917646,0.02292341177966961,0.017944307684886973,-0.5298105086191023,4.084028478926092,3.3386332885348873,174,34,26,434,117,88,-0.9688488048642994,-7.883189940772687,41.640536285941145,27.052333925121857,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.9688_below_0.50;train_return_per_turnover_proxy_bps_-7.883_not_above_10.000
6,htf_trend_4h_trxusdt_lb48_th0p005_5p0x_0p1_5dbaa18a,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.005,5.0,0.1,0.5,-0.054357135034039605,0.09817024265623342,0.029934878090458916,0.1399655524441218,0.017775916248936374,0.013269110110594617,-0.4730674106367605,5.346202202831785,3.2023058506776314,234,43,34,691,190,143,-0.5537027673893413,-4.645908977268342,45.66057797964345,17.60875181791701,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.5537_below_0.50;train_return_per_turnover_proxy_bps_-4.646_not_above_10.000
7,htf_trend_4h_trxusdt_lb48_th0p01_4p0x_0p15_9ce33833,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.01,4.0,0.15,0.6,-0.07442389602450195,0.10135836488354633,0.02610701908705959,0.16302611000586276,0.024179158655591948,0.01956950425737869,-0.5516769225022676,4.644822245160444,2.403248637941867,216,43,36,647,177,133,-0.7342649628376483,-5.742584569791817,39.28618793935904,12.08658291067574,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.7343_below_0.50;train_return_per_turnover_proxy_bps_-5.743_not_above_10.000
8,htf_trend_6h_trxusdt_lb24_th0p01_5p0x_0p15_25faedd5,htf_trend_persistence,TRXUSDT,6h,long_only,24,0.01,5.0,0.15,0.75,-0.09365441713307054,0.10017718284800625,0.05911340978336588,0.15270165340143382,0.0229234117796695,0.01579891718097326,-0.48578622019925394,3.915477559943262,3.7973872036993135,164,32,30,406,107,75,-0.9348877106592989,-7.614180254721183,41.74049285333594,26.272626570384833,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.9349_below_0.50;train_return_per_turnover_proxy_bps_-7.614_not_above_10.000
9,htf_funding_squeeze_4h_solusdt_lb12_-2e-05_5p0x_0p1_87d2143b,funding_squeeze_continuation,SOLUSDT,4h,long_only,12,-2e-05,5.0,0.1,0.5,-0.14534120265385386,0.09983312649266196,-0.012379021853784922,0.18034652260377715,0.02364849969463434,0.018077135539420253,-1.499367112017995,3.628528596631397,-2.544233148073627,130,40,10,152,53,6,-1.4558414402110995,-22.360185023669825,49.91656324633098,-24.758043707569843,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_trade_event_count_10_below_20;train_return_not_positive;train_validation_return_ratio_-1.4558_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-22.360_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-24.758_not_above_10.000
10,htf_trend_1h_ethusdt_lb12_th0p02_5p0x_0p15_06c0f486,htf_trend_persistence,ETHUSDT,1h,long_only,12,0.02,5.0,0.15,0.75,-0.0954509930852272,0.10225426210086841,0.007397855587636171,0.255843875664833,0.049479101612224574,0.025745714773294015,-0.3624555863250467,2.2485255680490517,0.5332714456394627,698,127,48,1213,243,86,-0.9334671350038187,-1.8233236501476064,10.735355601141041,2.054959885454492,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.9335_below_0.50;train_return_per_turnover_proxy_bps_-1.823_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_2.055_not_above_10.000
11,htf_trend_4h_trxusdt_lb24_th0p005_5p0x_0p15_fb8db9ec,htf_trend_persistence,TRXUSDT,4h,long_only,24,0.005,5.0,0.15,0.75,-0.12536420975726636,0.09428972343134423,0.04819388989776452,0.2112983836244634,0.024449918812473714,0.013595030225119986,-0.7067722440418646,3.8063549758606507,3.5951631652290597,244,51,34,618,155,119,-1.329563871809939,-6.850503265424392,24.65090808662594,18.899564665790006,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-1.3296_below_0.50;train_return_per_turnover_proxy_bps_-6.851_not_above_10.000
12,htf_trend_4h_trxusdt_lb12_th0p005_5p0x_0p15_413555ef,htf_trend_persistence,TRXUSDT,4h,long_only,12,0.005,5.0,0.15,0.75,0.07702691809730511,0.07950005726872589,-0.0027346286502398787,0.09091798525923211,0.03585390527438537,0.025546104930593838,0.5609500251970707,3.4159723737747996,-0.2658899785985586,296,68,43,570,149,82,0.9688913535865631,3.469680995374104,15.588246523279587,-0.8479468682914353,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_3.470_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-0.848_not_above_10.000
13,htf_trend_4h_trxusdt_lb48_th0p02_4p0x_0p15_a39b183b,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.02,4.0,0.15,0.6,-0.00039866251403619657,0.0816678604739185,0.018453693803322402,0.07975339495951883,0.023276663475131243,0.019200865632823194,0.05194784776678335,4.035687131410975,1.8083078507745007,186,39,26,534,142,95,-0.004881510446370928,-0.03572244749428285,34.900795074324144,11.829290899565644,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.0049_below_0.50;train_return_per_turnover_proxy_bps_-0.036_not_above_10.000
14,htf_trend_4h_trxusdt_lb48_th0p01_5p0x_0p1_13f5be87,htf_trend_persistence,TRXUSDT,4h,long_only,48,0.01,5.0,0.1,0.5,-0.06137834579200385,0.0839140421021829,0.021775041250509775,0.13713904563886992,0.020177802845901094,0.016322334155078777,-0.5516769225022673,4.644822245160444,2.4032486379418665,216,43,36,647,177,133,-0.7314430845467185,-5.683180165926282,39.029787024271116,12.097245139172097,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.7314_below_0.50;train_return_per_turnover_proxy_bps_-5.683_not_above_10.000
15,htf_trend_6h_trxusdt_lb24_th0p005_4p0x_0p15_1e0836ad,htf_trend_persistence,TRXUSDT,6h,long_only,24,0.005,4.0,0.15,0.6,-0.08090539368067362,0.08430222593995507,0.042143499484118774,0.11613308217145857,0.018362441395168294,0.014355103033409367,-0.529810508619102,4.084028478926092,3.3386332885348877,174,34,26,434,117,88,-0.9597064938510537,-7.74955878167372,41.324620558801506,27.01506377187101,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,train_return_not_positive;train_validation_return_ratio_-0.9597_below_0.50;train_return_per_turnover_proxy_bps_-7.750_not_above_10.000
16,htf_trend_6h_trxusdt_lb48_th0p01_5p0x_0p15_8d1bc21e,htf_trend_persistence,TRXUSDT,6h,long_only,48,0.01,5.0,0.15,0.75,-0.11205696478967941,0.09171479445470476,-0.0033404692763366883,0.1598969783915578,0.03668166403922046,0.04963499332934196,-0.6799989837448087,3.398048166585685,-0.16955808601083022,163,24,34,432,102,111,-1.2217981347057485,-9.166213888726332,50.952663585947086,-1.3099879515045836,False,False,False,no_promotion_shadow_or_reject,False,False,False,0,0,validation_trade_event_count_24_below_30;train_return_not_positive;train_validation_return_ratio_-1.2218_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-9.166_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-1.310_not_above_10.000
