decision_rank,model_id,decision,family,symbol,timeframe,validation_return,locked_oos_return,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
1,htf_trend_4h_trxusdt_lb48_th0p005_5p0x_0p15_3a7d84a7,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.15026180067313355,0.04497061776098321,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.5612_below_0.50;train_return_per_turnover_proxy_bps_-4.805_not_above_10.000
2,htf_trend_4h_trxusdt_lb48_th0p01_5p0x_0p15_aef61c2e,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.12794697224765805,0.03258952122499714,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.7379_below_0.50;train_return_per_turnover_proxy_bps_-5.828_not_above_10.000
3,htf_trend_4h_trxusdt_lb48_th0p005_4p0x_0p15_f6ce2c65,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.11876042572341139,0.03594408924120973,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.5569_below_0.50;train_return_per_turnover_proxy_bps_-4.711_not_above_10.000
4,htf_trend_4h_trxusdt_lb48_th0p02_5p0x_0p15_f6f8a7f3,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.10283489537197354,0.022986881057853736,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.0236_below_0.50;train_return_per_turnover_proxy_bps_-0.174_not_above_10.000
5,htf_trend_6h_trxusdt_lb24_th0p005_5p0x_0p15_1a827f30,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,6h,0.10618336752914992,0.05275205115398762,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.9688_below_0.50;train_return_per_turnover_proxy_bps_-7.883_not_above_10.000
6,htf_trend_4h_trxusdt_lb48_th0p005_5p0x_0p1_5dbaa18a,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.09817024265623342,0.029934878090458916,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.5537_below_0.50;train_return_per_turnover_proxy_bps_-4.646_not_above_10.000
7,htf_trend_4h_trxusdt_lb48_th0p01_4p0x_0p15_9ce33833,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.10135836488354633,0.02610701908705959,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.7343_below_0.50;train_return_per_turnover_proxy_bps_-5.743_not_above_10.000
8,htf_trend_6h_trxusdt_lb24_th0p01_5p0x_0p15_25faedd5,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,6h,0.10017718284800625,0.05911340978336588,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.9349_below_0.50;train_return_per_turnover_proxy_bps_-7.614_not_above_10.000
9,htf_funding_squeeze_4h_solusdt_lb12_-2e-05_5p0x_0p1_87d2143b,no_promotion_shadow_or_reject,funding_squeeze_continuation,SOLUSDT,4h,0.09983312649266196,-0.012379021853784922,False,False,False,locked_oos_trade_event_count_10_below_20;train_return_not_positive;train_validation_return_ratio_-1.4558_below_0.50;locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_-22.360_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-24.758_not_above_10.000
10,htf_trend_1h_ethusdt_lb12_th0p02_5p0x_0p15_06c0f486,no_promotion_shadow_or_reject,htf_trend_persistence,ETHUSDT,1h,0.10225426210086841,0.007397855587636171,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.9335_below_0.50;train_return_per_turnover_proxy_bps_-1.823_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_2.055_not_above_10.000
11,htf_trend_4h_trxusdt_lb24_th0p005_5p0x_0p15_fb8db9ec,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.09428972343134423,0.04819388989776452,False,False,False,train_return_not_positive;train_validation_return_ratio_-1.3296_below_0.50;train_return_per_turnover_proxy_bps_-6.851_not_above_10.000
12,htf_trend_4h_trxusdt_lb12_th0p005_5p0x_0p15_413555ef,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.07950005726872589,-0.0027346286502398787,False,False,False,locked_oos_return_not_positive;train_return_per_turnover_proxy_bps_3.470_not_above_10.000;locked_oos_return_per_turnover_proxy_bps_-0.848_not_above_10.000
13,htf_trend_4h_trxusdt_lb48_th0p02_4p0x_0p15_a39b183b,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.0816678604739185,0.018453693803322402,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.0049_below_0.50;train_return_per_turnover_proxy_bps_-0.036_not_above_10.000
14,htf_trend_4h_trxusdt_lb48_th0p01_5p0x_0p1_13f5be87,no_promotion_shadow_or_reject,htf_trend_persistence,TRXUSDT,4h,0.0839140421021829,0.021775041250509775,False,False,False,train_return_not_positive;train_validation_return_ratio_-0.7314_below_0.50;train_return_per_turnover_proxy_bps_-5.683_not_above_10.000
