round_trip_slippage_fee_bps,model_id,candidate_label,weight
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 5x/0.05,0.73
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 2x/0.125,0.030000000000000006
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 3x/0.075,0.030000000000000006
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 4x/0.05,0.030000000000000006
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 2x/0.1,0.030000000000000006
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 1x/0.2,0.030000000000000006
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 1x/0.175,0.030000000000000006
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 3x/0.05,0.030000000000000006
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 2x/0.075,0.030000000000000006
10.0,hybrid_v3_5_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 1x/0.15,0.030000000000000006
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 5x/0.05,0.64
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 2x/0.125,0.04000000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 3x/0.075,0.04000000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 4x/0.05,0.04000000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 2x/0.1,0.04000000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 1x/0.2,0.04000000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 1x/0.175,0.04000000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 3x/0.05,0.04000000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 2x/0.075,0.04000000000000001
10.0,hybrid_v3_6_fresh_tv10,alpha_zoo_liquidity_sweep_reversal 1x/0.15,0.04000000000000001
