[I 2026-05-21 22:11:19,656] A new study created in memory with name: no-name-1f849250-cfeb-4c8f-bb42-de7fac3c0aed
[I 2026-05-21 22:11:22,890] Trial 0 finished with value: 73.34398357247227 and parameters: {'bias_alpha': 1.0, 'bias_combine_ratio': 0.25, 'max_weight': 0.78, 'mape_window': 44, 'bias_window': 15, 'short_vol_window': 7}. Best is trial 0 with value: 73.34398357247227.
[I 2026-05-21 22:11:26,012] Trial 1 finished with value: 73.34887646724745 and parameters: {'bias_alpha': 0.8805139311818198, 'bias_combine_ratio': 0.40706370308701734, 'max_weight': 0.8639377731041001, 'mape_window': 28, 'bias_window': 10, 'short_vol_window': 14}. Best is trial 1 with value: 73.34887646724745.
[I 2026-05-21 22:11:28,975] Trial 2 finished with value: -999926.7519928077 and parameters: {'bias_alpha': 0.984014723718474, 'bias_combine_ratio': 0.37617033955128387, 'max_weight': 0.8735169657318859, 'mape_window': 29, 'bias_window': 20, 'short_vol_window': 10}. Best is trial 1 with value: 73.34887646724745.
[I 2026-05-21 22:11:32,411] Trial 3 finished with value: -999926.7521568362 and parameters: {'bias_alpha': 0.9160581143835077, 'bias_combine_ratio': 0.4315501839174192, 'max_weight': 0.8953065388608241, 'mape_window': 40, 'bias_window': 18, 'short_vol_window': 15}. Best is trial 1 with value: 73.34887646724745.
[I 2026-05-21 22:11:35,544] Trial 4 finished with value: 73.33810781947545 and parameters: {'bias_alpha': 0.8915906339558879, 'bias_combine_ratio': 0.2989738845440482, 'max_weight': 0.8505239904587564, 'mape_window': 43, 'bias_window': 13, 'short_vol_window': 7}. Best is trial 1 with value: 73.34887646724745.
[I 2026-05-21 22:11:38,734] Trial 5 finished with value: 73.34344581288471 and parameters: {'bias_alpha': 0.9212813691278848, 'bias_combine_ratio': 0.23880777799163702, 'max_weight': 0.8420067549775465, 'mape_window': 31, 'bias_window': 10, 'short_vol_window': 8}. Best is trial 1 with value: 73.34887646724745.
[I 2026-05-21 22:11:41,833] Trial 6 finished with value: -999926.7541546779 and parameters: {'bias_alpha': 0.903604629296541, 'bias_combine_ratio': 0.42715837014332464, 'max_weight': 0.7158227670521394, 'mape_window': 31, 'bias_window': 18, 'short_vol_window': 13}. Best is trial 1 with value: 73.34887646724745.
[I 2026-05-21 22:11:44,846] Trial 7 finished with value: -999926.7521857261 and parameters: {'bias_alpha': 0.875980649087301, 'bias_combine_ratio': 0.4215260276259412, 'max_weight': 0.8286445733859586, 'mape_window': 44, 'bias_window': 20, 'short_vol_window': 15}. Best is trial 1 with value: 73.34887646724745.
[I 2026-05-21 22:11:48,050] Trial 8 finished with value: -999926.7520735571 and parameters: {'bias_alpha': 0.9984149354293204, 'bias_combine_ratio': 0.43321705562630813, 'max_weight': 0.7416134372388269, 'mape_window': 38, 'bias_window': 17, 'short_vol_window': 11}. Best is trial 1 with value: 73.34887646724745.
[I 2026-05-21 22:11:51,205] Trial 9 finished with value: -999926.7518383302 and parameters: {'bias_alpha': 0.9587082798973832, 'bias_combine_ratio': 0.2637759818770885, 'max_weight': 0.7706863173031236, 'mape_window': 47, 'bias_window': 18, 'short_vol_window': 11}. Best is trial 1 with value: 73.34887646724745.
[I 2026-05-21 22:11:54,247] Trial 10 finished with value: 73.35103993471742 and parameters: {'bias_alpha': 0.854626917675432, 'bias_combine_ratio': 0.3547312323362738, 'max_weight': 0.8119997583704552, 'mape_window': 26, 'bias_window': 10, 'short_vol_window': 5}. Best is trial 10 with value: 73.35103993471742.
