fallback_rank,status,decision,model_id,candidate_name,train_return,validation_return,locked_oos_return,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,validation_mdd,train_validation_return_ratio,primary_10bps_promotion_gate_pass,execution_efficiency_proxy_gate_pass,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,return_per_turnover_proxy_threshold_bps,ready_for_paper,ready_for_real,real_money_execution,rejection_reasons
1,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.4548121710643429,0.07572443448626331,-0.0022533146249008595,42,8,1,0.017492844285999048,6.0061481363303875,False,False,103.13201157921608,90.14813629317064,-21.460139284770094,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
2,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,0.4548121710643429,0.07572443448626331,-0.0022533146249008595,42,8,1,0.017492844285999048,6.0061481363303875,False,False,103.13201157921608,90.14813629317064,-21.460139284770094,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
3,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.045832420459388734,0.27384367402254894,-0.042506741781909496,476,103,56,0.08415325084034228,0.16736709592792998,False,False,0.9170152152738844,25.32072806496061,-7.22903771801182,10.0,False,False,False,train_validation_return_ratio_0.1674_below_0.50;train_return_per_turnover_proxy_bps_0.917_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.229_not_above_10.000;primary_10bps_promotion_gate_failed
4,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,0.045832420459388734,0.27384367402254894,-0.042506741781909496,476,103,56,0.08415325084034228,0.16736709592792998,False,False,0.9170152152738844,25.32072806496061,-7.22903771801182,10.0,False,False,False,train_validation_return_ratio_0.1674_below_0.50;train_return_per_turnover_proxy_bps_0.917_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.229_not_above_10.000;primary_10bps_promotion_gate_failed
5,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.43015622229658024,0.072127109959772,-0.0021460139284770197,42,8,1,0.016660456212946755,5.9638632760482775,False,False,102.41814816585243,90.15888744971501,-21.460139284770197,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
6,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_5p0x_0p2alloc,alpha_zoo_conservative_exit,0.43015622229658024,0.072127109959772,-0.0021460139284770197,42,8,1,0.016660456212946755,5.9638632760482775,False,False,102.41814816585243,90.15888744971501,-21.460139284770197,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
7,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.04794962553312421,0.26008506379638363,-0.040374265543010046,476,103,56,0.08026663912978053,0.18436131945917197,False,False,1.0073450742252985,25.25097706761006,-7.2096902755375085,10.0,False,False,False,train_validation_return_ratio_0.1844_below_0.50;train_return_per_turnover_proxy_bps_1.007_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.210_not_above_10.000;primary_10bps_promotion_gate_failed
8,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_5p0x_0p2alloc,alpha_zoo_conservative_exit,0.04794962553312421,0.26008506379638363,-0.040374265543010046,476,103,56,0.08026663912978053,0.18436131945917197,False,False,1.0073450742252985,25.25097706761006,-7.2096902755375085,10.0,False,False,False,train_validation_return_ratio_0.1844_below_0.50;train_return_per_turnover_proxy_bps_1.007_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.210_not_above_10.000;primary_10bps_promotion_gate_failed
9,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.3817863892665132,0.06492944700092895,-0.00193141253562934,42,8,1,0.01499548679681926,5.880019111529641,False,False,101.00169028214636,90.17978750129022,-21.460139284770445,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
10,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p15alloc,alpha_zoo_conservative_exit,0.3817863892665132,0.06492944700092895,-0.00193141253562934,42,8,1,0.01499548679681926,5.880019111529641,False,False,101.00169028214636,90.17978750129022,-21.460139284770445,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
11,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.36988848677499386,0.06312942079041761,-0.00187776218741742,42,8,1,0.014579204658876799,5.859209258437218,False,False,100.64992837414799,90.18488684345373,-21.460139284770516,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
12,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_5p0x_0p175alloc,alpha_zoo_conservative_exit,0.36988848677499386,0.06312942079041761,-0.00187776218741742,42,8,1,0.014579204658876799,5.859209258437218,False,False,100.64992837414799,90.18488684345373,-21.460139284770516,10.0,False,False,False,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-21.460_not_above_10.000;primary_10bps_promotion_gate_failed
13,backtest_fallback_reject,no_promotion,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p15alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,0.05089701163082627,0.23276927378878653,-0.03613930184180558,476,103,56,0.0724575963251314,0.21865863480336292,False,False,1.1880721669193808,25.109954022522825,-7.170496397183649,10.0,False,False,False,train_validation_return_ratio_0.2187_below_0.50;train_return_per_turnover_proxy_bps_1.188_not_above_10.000;locked_oos_return_not_positive;locked_oos_return_per_turnover_proxy_bps_-7.170_not_above_10.000;primary_10bps_promotion_gate_failed
