selection_rank,model_id,source_artifact_kind,symbol,timeframe,family,side,notional_fraction,monitoring_score_train_validation_only,train_return,validation_return,locked_oos_return,validation_mdd,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,max_abs_corr_to_prior_train_validation,max_abs_corr_to_prior_validation,nearest_prior_model_id_train_validation,correlation_decision,correlation_rejection_reasons,ready_for_paper,ready_for_real,real_money_execution
1,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,alpha_zoo_debounced_efficiency_repair_discovery,SOLUSDT,1h,debounced_momentum_hysteresis_efficiency_repair,short_only,0.44999999999999996,1.326555261374202,0.2821976972035505,0.16929444454793252,0.024704079822259528,0.0924175220171839,254,63,26,24.68921235376645,59.715853456060856,21.11459813868336,0.0,0.0,,selected_corr_diversified_paper_monitor,,True,False,False
2,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,alpha_zoo_30m_plus_alpha_booster_discovery,SOLUSDT,2h,relative_strength_chandelier_breakout,long_short,0.5,1.2702750717907347,0.37460228264393236,0.16091887116519876,0.04237256321195004,0.10855416987945865,242,53,27,30.958866334209286,60.7241023264901,31.387083860703733,0.017470014408827443,0.017938094417527365,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,selected_corr_diversified_paper_monitor,,True,False,False
,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_5p0x_0p1_3beb48bb,alpha_zoo_30m_plus_alpha_booster_discovery,SOLUSDT,2h,relative_strength_chandelier_breakout,long_short,0.5,1.2702750717907347,0.37460228264393236,0.16091887116519876,0.04237256321195004,0.10855416987945865,242,53,27,30.958866334209286,60.7241023264901,31.387083860703733,1.0,1.0,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,rejected_high_pnl_correlation_duplicate,train_validation_abs_corr_1.0000_above_0.70_to_a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26;validation_abs_corr_1.0000_above_0.75,False,False,False
,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail2p0_hold18_4p0x_0p125_f89f6f75,alpha_zoo_30m_plus_alpha_booster_discovery,SOLUSDT,2h,relative_strength_chandelier_breakout,long_short,0.5,1.2569107386492455,0.3532414396284278,0.16091887116519876,0.04237256321195004,0.10855416987945865,244,53,27,28.954216362985886,60.7241023264901,31.387083860703733,0.9983648746217698,1.0,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,rejected_high_pnl_correlation_duplicate,train_validation_abs_corr_0.9984_above_0.70_to_a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26;validation_abs_corr_1.0000_above_0.75,False,False,False
,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail2p0_hold18_5p0x_0p1_e0f89ffc,alpha_zoo_30m_plus_alpha_booster_discovery,SOLUSDT,2h,relative_strength_chandelier_breakout,long_short,0.5,1.2569107386492455,0.3532414396284278,0.16091887116519876,0.04237256321195004,0.10855416987945865,244,53,27,28.954216362985886,60.7241023264901,31.387083860703733,0.9983648746217698,1.0,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,rejected_high_pnl_correlation_duplicate,train_validation_abs_corr_0.9984_above_0.70_to_a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26;validation_abs_corr_1.0000_above_0.75,False,False,False
,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_4p0x_0p1_edcf6277,alpha_zoo_debounced_efficiency_repair_discovery,SOLUSDT,1h,debounced_momentum_hysteresis_efficiency_repair,short_only,0.4,1.1949755255591603,0.25340605545353756,0.1501574690438907,0.022042554415161897,0.08250058303297003,254,63,26,24.941540891096214,59.586297239639165,21.194763860732593,0.9999999999999971,0.9999999999999976,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,rejected_high_pnl_correlation_duplicate,train_validation_abs_corr_1.0000_above_0.70_to_debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d;validation_abs_corr_1.0000_above_0.75,False,False,False
,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_3p0x_0p15_76d4e65b,alpha_zoo_30m_plus_alpha_booster_discovery,SOLUSDT,2h,relative_strength_chandelier_breakout,long_short,0.44999999999999996,1.1610151884085564,0.33775512428303744,0.1446027797729439,0.038287407643292415,0.09810740131328177,242,53,27,31.015162927735307,60.63009634085698,31.51226966526125,1.0,0.9999999999999992,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,rejected_high_pnl_correlation_duplicate,train_validation_abs_corr_1.0000_above_0.70_to_a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26;validation_abs_corr_1.0000_above_0.75,False,False,False
3,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p03_x-0p005_hold48_cool0_none_3p0x_0p15_d6eac828,alpha_zoo_debounced_efficiency_repair_discovery,SOLUSDT,1h,debounced_momentum_hysteresis_efficiency_repair,long_short,0.44999999999999996,1.1536961515424982,0.2635703875580513,0.1513134531010254,0.017642821714091594,0.10284066627968258,250,61,22,23.428478894049007,55.123298033160445,17.821032034435955,0.1674690016411347,0.28152392626871836,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,selected_corr_diversified_paper_monitor,,True,False,False
,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail2p0_hold18_3p0x_0p15_8757709e,alpha_zoo_30m_plus_alpha_booster_discovery,SOLUSDT,2h,relative_strength_chandelier_breakout,long_short,0.44999999999999996,1.1479556364748695,0.3190374069117514,0.1446027797729439,0.038287407643292415,0.09810740131328177,244,53,27,29.056230137682284,60.63009634085698,31.51226966526125,0.9983648746217755,0.9999999999999992,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,rejected_high_pnl_correlation_duplicate,train_validation_abs_corr_0.9984_above_0.70_to_a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26;validation_abs_corr_1.0000_above_0.75,False,False,False
,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool12_none_3p0x_0p15_6ff58bc8,alpha_zoo_debounced_efficiency_repair_discovery,SOLUSDT,1h,debounced_momentum_hysteresis_efficiency_repair,short_only,0.44999999999999996,1.0866649530330894,0.24515399235918012,0.1362393578884964,0.024704079822259528,0.07703954194861007,230,59,26,23.68637607335074,51.314259091712394,21.11459813868336,0.9103471219541224,0.9208713341933251,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,rejected_high_pnl_correlation_duplicate,train_validation_abs_corr_0.9103_above_0.70_to_debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d;validation_abs_corr_0.9209_above_0.75,False,False,False
