selection_rank,model_id,source_artifact_kind,symbol,timeframe,family,side,notional_fraction,monitoring_score_train_validation_only,train_return,validation_return,locked_oos_return,validation_mdd,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,train_return_per_turnover_proxy_bps,validation_return_per_turnover_proxy_bps,locked_oos_return_per_turnover_proxy_bps,max_abs_corr_to_prior_train_validation,max_abs_corr_to_prior_validation,nearest_prior_model_id_train_validation,correlation_decision,correlation_rejection_reasons,ready_for_paper,ready_for_real,real_money_execution
1,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,alpha_zoo_debounced_efficiency_repair_discovery,SOLUSDT,1h,debounced_momentum_hysteresis_efficiency_repair,short_only,0.44999999999999996,1.326555261374202,0.2821976972035505,0.16929444454793252,0.024704079822259528,0.0924175220171839,254,63,26,24.68921235376645,59.715853456060856,21.11459813868336,0.0,0.0,,selected_corr_diversified_paper_monitor,,True,False,False
2,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,alpha_zoo_30m_plus_alpha_booster_discovery,SOLUSDT,2h,relative_strength_chandelier_breakout,long_short,0.5,1.2702750717907347,0.37460228264393236,0.16091887116519876,0.04237256321195004,0.10855416987945865,242,53,27,30.958866334209286,60.7241023264901,31.387083860703733,0.017470014408827443,0.017938094417527365,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,selected_corr_diversified_paper_monitor,,True,False,False
3,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p03_x-0p005_hold48_cool0_none_3p0x_0p15_d6eac828,alpha_zoo_debounced_efficiency_repair_discovery,SOLUSDT,1h,debounced_momentum_hysteresis_efficiency_repair,long_short,0.44999999999999996,1.1536961515424982,0.2635703875580513,0.1513134531010254,0.017642821714091594,0.10284066627968258,250,61,22,23.428478894049007,55.123298033160445,17.821032034435955,0.1674690016411347,0.28152392626871836,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,selected_corr_diversified_paper_monitor,,True,False,False
4,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb6_e0p02_x0p005_hold12_cool6_none_4p0x_0p1_b27a86b8,alpha_zoo_debounced_efficiency_repair_discovery,SOLUSDT,1h,debounced_momentum_hysteresis_efficiency_repair,short_only,0.4,0.6375613836535556,0.24293293090049795,0.0859147081079703,0.012826162289531373,0.06831475257674935,410,99,32,14.81298359149378,21.69563336059856,10.020439288696386,0.674665190101603,0.7311599263356451,debrepair_debounced_efficiency_repair_1h_solusdt_short_only_lb12_e0p02_x0p005_hold36_cool0_none_3p0x_0p15_1e40357d,selected_corr_diversified_paper_monitor,,True,False,False
5,debrepair_debounced_efficiency_repair_1h_ethusdt_long_short_lb6_e0p02_x0p005_hold48_cool6_adx20_3p0x_0p1_236cf336,alpha_zoo_debounced_efficiency_repair_discovery,ETHUSDT,1h,debounced_momentum_hysteresis_efficiency_repair,long_short,0.30000000000000004,0.5676156971086295,0.11639687680058386,0.08333447331241417,0.014278695722198309,0.09772198994004588,250,59,29,15.519583573411179,47.08162334034698,16.412293933561273,0.22895343277826377,0.24298724197439758,debrepair_debounced_efficiency_repair_1h_solusdt_long_short_lb12_e0p03_x-0p005_hold48_cool0_none_3p0x_0p15_d6eac828,selected_corr_diversified_paper_monitor,,True,False,False
6,debrepair_debounced_efficiency_repair_2h_ethusdt_long_short_lb6_e0p02_x0p005_hold24_cool0_trend_strength2_3p0x_0p15_c6ebae40,alpha_zoo_debounced_efficiency_repair_discovery,ETHUSDT,2h,debounced_momentum_hysteresis_efficiency_repair,long_short,0.44999999999999996,0.5636540017555234,0.170562319511794,0.07892078566447691,0.02367768700711137,0.0918977085578504,208,45,22,18.22247003331133,38.97322748863058,23.91685556273876,0.32737961211769073,0.3497854342961281,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,selected_corr_diversified_paper_monitor,,True,False,False
7,a30fb_voladj_trend_6h_solusdt_lb6_z1p5_hold8_cool2_adx20_low_vol_q75_3p0x_0p1_e295f93a,alpha_zoo_30m_plus_alpha_feedback_discovery,SOLUSDT,6h,volatility_adjusted_trend_persistence,long_short,0.30000000000000004,0.4186493722235152,0.1445403062026802,0.05546889503033259,0.018229983401978345,0.10795793073225579,164,42,23,29.37811101680492,44.022932563756015,26.42026579996861,0.026548618727845245,0.015512680207435793,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,selected_corr_diversified_paper_monitor,,True,False,False
8,a30fb_asset_diverse_residual_reclaim_2h_ethusdt_btcusdt_lb48_z1p0_hold6_4p0x_0p125_fa49c5d5,alpha_zoo_asset_diverse_strategy_discovery,ETHUSDT,2h,relative_residual_reclaim,long_short,0.5,0.3993147277844647,0.168300604729533,0.047366877944118535,0.04811963234172745,0.04886862785871027,184,32,26,18.293543992340545,29.604298715074084,37.015101801328804,0.15907497335702384,0.22740838143953168,a30fb_booster_rs_chandelier_2h_solusdt_lb12_atr0p25_rel0p005_trail3p0_hold18_4p0x_0p125_9eeb8c26,selected_corr_diversified_paper_monitor,,True,False,False
9,debrepair_debounced_efficiency_repair_4h_solusdt_long_short_lb12_e0p02_x0p005_hold12_cool6_low_vol_q55_adx15_2p0x_0p15_de16b11e,alpha_zoo_debounced_efficiency_repair_discovery,SOLUSDT,4h,debounced_momentum_hysteresis_efficiency_repair,long_short,0.3,0.31097894206093607,0.07873517019257625,0.05234899000522142,0.023500458455606,0.09855487949646946,185,44,23,14.186517151815542,39.65832576153139,34.058635442907246,0.06727441876413526,0.04428624892389185,a30fb_voladj_trend_6h_solusdt_lb6_z1p5_hold8_cool2_adx20_low_vol_q75_3p0x_0p1_e295f93a,selected_corr_diversified_paper_monitor,,True,False,False
10,a30fb_voladj_trend_4h_trxusdt_lb6_z1p5_hold12_cool2_adx15_3p0x_0p15_cca555d7,alpha_zoo_30m_plus_alpha_feedback_discovery,TRXUSDT,4h,volatility_adjusted_trend_persistence,long_short,0.44999999999999996,0.26622176740667336,0.1349142742436873,0.029576296641619093,0.011824956187697966,0.02420577956060277,199,52,25,15.065803935643471,12.63944300923893,10.511072166842638,0.06504600350027724,0.12919140616981334,debrepair_debounced_efficiency_repair_4h_solusdt_long_short_lb12_e0p02_x0p005_hold12_cool6_low_vol_q55_adx15_2p0x_0p15_de16b11e,selected_corr_diversified_paper_monitor,,True,False,False
