rank,model_id,candidate_name,round_trip_cost_bps,split,total_return,max_drawdown,trade_event_count,metric_source,diagnostic_only,may_reduce_promotion_cost,note
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,5.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,5.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,5.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,10.0,train,0.4548121710643429,0.08295409288387388,42,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,10.0,validation,0.07572443448626331,0.017492844285999048,8,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,10.0,locked_oos,-0.0022533146249008595,0.0022533146249008595,1,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,15.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,15.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,15.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,20.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,20.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
1,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,20.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,5.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,5.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,5.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,10.0,train,0.4548121710643429,0.08295409288387388,42,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,10.0,validation,0.07572443448626331,0.017492844285999048,8,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,10.0,locked_oos,-0.0022533146249008595,0.0022533146249008595,1,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,15.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,15.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,15.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,20.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,20.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
2,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,20.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
3,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,5.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
3,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,5.0,validation,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
3,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,5.0,locked_oos,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
3,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,10.0,train,0.045832420459388734,0.33740571535229197,476,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
3,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,10.0,validation,0.27384367402254894,0.08415325084034228,103,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
3,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,10.0,locked_oos,-0.042506741781909496,0.12632836588465282,56,expanded_retune_primary_10bps,True,False,primary promotion cost; exact replay metric
3,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,15.0,train,,,,not_replayed_in_sample_guarded_runner,True,False,requires dedicated cost replay; non-primary costs cannot reduce 10bps promotion gate
