strategy_name,candidate_name,candidate_source,split,period_start,period_end,period_source,total_return,mdd,return_mdd_diagnostic,sharpe,sortino,smart_sortino,calmar,trade_count,liquidation_count,minimum_margin_buffer,deployable_success,live_promotion_possible,rejection_reasons
CryptoFxAlphaZooStateStrategy,crypto_fx_alpha_zoo_state_calibrated,alpha_zoo_train_validation_calibrated_replay,train,2025-01-01T00:00:00,2025-10-19T13:00:00,var/reports/profit_moonshot_20260501/current_tail_20260508/alpha_v2/crypto_fx_alpha_zoo_real_data_20260514/candidate_outcome_ledger_latest.jsonl,0.6888424575246155,0.2956514670572235,2.3299138826572765,1.5691392287535169,1.9197757311044374,1.4817069095478044,2.3299138826572765,1779,0,9049.12596153846,True,True,
CryptoFxAlphaZooStateStrategy,crypto_fx_alpha_zoo_state_calibrated,alpha_zoo_train_validation_calibrated_replay,validation,2025-10-22T05:00:00,2026-01-28T06:00:00,var/reports/profit_moonshot_20260501/current_tail_20260508/alpha_v2/crypto_fx_alpha_zoo_real_data_20260514/candidate_outcome_ledger_latest.jsonl,0.30119475694665043,0.09559509283920696,3.150734499031939,1.5520405722881823,2.0957442791971075,1.9128821340063138,3.150734499031939,524,0,9527.695927547531,True,True,
CryptoFxAlphaZooStateStrategy,crypto_fx_alpha_zoo_state_calibrated,alpha_zoo_train_validation_calibrated_replay,locked_oos,2026-01-28T07:00:00,2026-05-06T23:00:00,var/reports/profit_moonshot_20260501/current_tail_20260508/alpha_v2/crypto_fx_alpha_zoo_real_data_20260514/candidate_outcome_ledger_latest.jsonl,0.41096694346467144,0.1366667659454812,3.007073011653861,2.143208618164893,2.8419359198153646,2.5002366612271256,3.007073011653861,540,0,9572.449083382613,True,True,
hybrid_online_portfolio_governor,full_universe_v35_train_learned_high_vol_hybrid,full_universe_selection_generated_hybrid_candidates,train,2025-01-01T00:00:00,2025-12-31T23:59:59,scripts/research/build_full_universe_selection.py constants + stream_day_count,0.16767366804132844,0.14768706210036664,1.1353307842726204,1.0887743266408951,1.8574885454408334,,1.1353307842726204,0,,,False,False,inferior_locked_oos_return_vs_alpha_zoo_strict_6x; locked_oos_return_not_above_invalid_current_base_reference; no_strict_zero_liquidation_margin_replay_for_live_promotion
hybrid_online_portfolio_governor,full_universe_v35_train_learned_high_vol_hybrid,full_universe_selection_generated_hybrid_candidates,validation,2026-01-01T00:00:00,2026-02-28T23:59:59,scripts/research/build_full_universe_selection.py constants + stream_day_count,0.16497511128782305,0.0367673852858571,42.75416280550446,3.6331255459665623,7.132147942244293,,42.75416280550446,0,,,False,False,inferior_locked_oos_return_vs_alpha_zoo_strict_6x; locked_oos_return_not_above_invalid_current_base_reference; no_strict_zero_liquidation_margin_replay_for_live_promotion
hybrid_online_portfolio_governor,full_universe_v35_train_learned_high_vol_hybrid,full_universe_selection_generated_hybrid_candidates,locked_oos,2026-03-01T00:00:00,2026-04-13T23:59:59,scripts/research/build_full_universe_selection.py constants + stream_day_count,0.0037306810855510797,0.007089919920678089,4.424896345022248,1.0071688948090627,1.045660664763523,,4.424896345022248,0,,,False,False,inferior_locked_oos_return_vs_alpha_zoo_strict_6x; locked_oos_return_not_above_invalid_current_base_reference; no_strict_zero_liquidation_margin_replay_for_live_promotion
hybrid_online_portfolio_governor,full_universe_v36_rolling_dynamic_high_vol_hybrid,full_universe_selection_generated_hybrid_candidates,train,2025-01-01T00:00:00,2025-12-31T23:59:59,scripts/research/build_full_universe_selection.py constants + stream_day_count,0.09517064151365595,0.16943179670766884,0.561704729354076,0.6520964124331091,1.032088561275107,,0.561704729354076,0,,,False,False,inferior_locked_oos_return_vs_alpha_zoo_strict_6x; locked_oos_return_not_above_invalid_current_base_reference; no_strict_zero_liquidation_margin_replay_for_live_promotion
hybrid_online_portfolio_governor,full_universe_v36_rolling_dynamic_high_vol_hybrid,full_universe_selection_generated_hybrid_candidates,validation,2026-01-01T00:00:00,2026-02-28T23:59:59,scripts/research/build_full_universe_selection.py constants + stream_day_count,0.1645870751093248,0.03895009861238308,40.22232539473065,3.5835708704486575,6.678936299518725,,40.22232539473065,0,,,False,False,inferior_locked_oos_return_vs_alpha_zoo_strict_6x; locked_oos_return_not_above_invalid_current_base_reference; no_strict_zero_liquidation_margin_replay_for_live_promotion
hybrid_online_portfolio_governor,full_universe_v36_rolling_dynamic_high_vol_hybrid,full_universe_selection_generated_hybrid_candidates,locked_oos,2026-03-01T00:00:00,2026-04-13T23:59:59,scripts/research/build_full_universe_selection.py constants + stream_day_count,0.003197140656533426,0.007125679960727993,3.765693024614334,0.8909711636394764,0.9023137937398158,,3.765693024614334,0,,,False,False,inferior_locked_oos_return_vs_alpha_zoo_strict_6x; locked_oos_return_not_above_invalid_current_base_reference; no_strict_zero_liquidation_margin_replay_for_live_promotion
hybrid_v35_v36_final_selection_metric_only,final_scaled_v35_train_high_vol,hybrid_final_selection_ranked_spec_highvol_true_hybrid,train,2025-01-01T00:00:00,2025-12-31T23:59:59,scripts/research/build_full_universe_selection.py constants; metric-only row does not persist OOS end timestamp,0.39646926179489816,0.08687966784304968,4.5634297602418314,1.587552969171389,2.3877861371850093,,4.5634297602418314,0,,,False,False,inferior_locked_oos_return_vs_alpha_zoo_strict_6x; locked_oos_return_not_above_invalid_current_base_reference; metric_only_row_no_trade_timestamp_or_strict_liquidation_replay; no_strict_zero_liquidation_margin_replay_for_live_promotion
hybrid_v35_v36_final_selection_metric_only,final_scaled_v35_train_high_vol,hybrid_final_selection_ranked_spec_highvol_true_hybrid,validation,2026-01-01T00:00:00,2026-02-28T23:59:59,scripts/research/build_full_universe_selection.py constants; metric-only row does not persist OOS end timestamp,0.2535165199736167,0.03392801917107979,89.79201388937066,3.9139021047970375,11.699613065807355,,89.79201388937066,0,,,False,False,inferior_locked_oos_return_vs_alpha_zoo_strict_6x; locked_oos_return_not_above_invalid_current_base_reference; metric_only_row_no_trade_timestamp_or_strict_liquidation_replay; no_strict_zero_liquidation_margin_replay_for_live_promotion
hybrid_v35_v36_final_selection_metric_only,final_scaled_v35_train_high_vol,hybrid_final_selection_ranked_spec_highvol_true_hybrid,locked_oos,2026-03-01T00:00:00,2026-04-20T23:59:59,scripts/research/build_full_universe_selection.py constants; metric-only row does not persist OOS end timestamp; inferred_end_from_oos_total_return_cagr_annualization,0.001166019252146766,0.016216175566440838,0.5164629865378633,0.16691722897632852,0.14140725003310065,,0.5164629865378633,0,,,False,False,inferior_locked_oos_return_vs_alpha_zoo_strict_6x; locked_oos_return_not_above_invalid_current_base_reference; metric_only_row_no_trade_timestamp_or_strict_liquidation_replay; no_strict_zero_liquidation_margin_replay_for_live_promotion
