# Strategy performance-improvement command summary (sanitized)

All commands were run from the repository root or OMX worker worktrees and are recorded here without absolute local paths or raw log payloads. Raw worker logs were intentionally omitted from the committed artifact to avoid leaking local environment topology.

| Check | Command | Exit | Result |
| --- | --- | ---: | --- |
| collect help | `uv run python scripts/collect_binance_1m_research_universe.py --help` | 0 | collector interface available |
| walkforward help | `uv run python scripts/research/run_alpha_zoo_69_asset_monthly_refit_walkforward.py --help` | 0 | WF runner interface available |
| compact help | `uv run python scripts/compact_wal_to_monthly_parquet.py --help` | 0 | compactor interface available |
| compact actual | `uv run python scripts/compact_wal_to_monthly_parquet.py --root-path data/market_parquet --exchange binance` | 0 | no symbols found; no WAL compaction performed |
| full WF initial bounded | `uv run python scripts/research/run_alpha_zoo_69_asset_monthly_refit_walkforward.py --output-json var/reports/strategy_performance_improvement_20260707/full_universe_walkforward/full_universe_walkforward_summary_latest.json --output-md var/reports/strategy_performance_improvement_20260707/full_universe_walkforward/full_universe_walkforward_summary_latest.md --source-symbol-workers 2 --checkpoint-interval 1 --checkpoint-markdown-interval 0` | timeout | reached fold 9/11 before the leader timeout; superseded by completed rerun |
| full WF completed | `uv run python scripts/research/run_alpha_zoo_69_asset_monthly_refit_walkforward.py --output-json var/reports/strategy_performance_improvement_20260707/full_universe_walkforward/full_universe_walkforward_summary_latest.json --output-md var/reports/strategy_performance_improvement_20260707/full_universe_walkforward/full_universe_walkforward_summary_latest.md --source-symbol-workers 2 --checkpoint-interval 0 --checkpoint-markdown-interval 0` | 0 | 110/110 symbols loaded; 11 folds; 1733 fold-candidate rows; no execution |
| normalized WF report | `uv run python scripts/research/build_strategy_performance_improvement_report.py --source-json var/reports/strategy_performance_improvement_20260707/full_universe_walkforward/full_universe_walkforward_summary_latest.json --output-json var/reports/strategy_performance_improvement_20260707/wf_report_normalized_latest.json --output-md var/reports/strategy_performance_improvement_20260707/wf_report_normalized_latest.md --command-log-path var/reports/strategy_performance_improvement_20260707/command_log.md --worker-count 2` | 0 | claim_status claimed_loaded_all_requested_symbols_completed_walkforward; leak checks pass |
| targeted strategy/report tests | `uv run --extra dev pytest -q tests/test_ohlcv_validation.py tests/test_strategy_performance_improvement_report.py tests/test_alpha_zoo_69_asset_monthly_refit_walkforward.py` | 0 | 63 passed before final review fixes |
| current focused clean-env tests | `uv run --extra dev pytest -q tests/test_strategy_performance_improvement_report.py tests/test_alpha_zoo_69_asset_monthly_refit_walkforward.py tests/integration/test_engine_golden.py tests/test_research_selection_flags_config.py` with local `.env` temporarily hidden | 0 | 70 passed |
| current full clean-env pytest | `uv run --extra dev pytest -q` with local `.env` temporarily hidden | 0 | 3574 passed, 20 skipped, 3 xfailed |
| current native build/parity | `uv run python scripts/build_native_backends.py` and `uv run --extra dev pytest -q tests/test_native_backend_parity.py tests/test_native_kernel_version.py` | 0 | native build passed; 32 native tests passed |
